sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
756,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,30242.421875,31.54541015625
757,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,117.90547943115234,1.583046793937683
758,per_sample_zscore,concat,mlp,local_value_abs,0.875,14,16,10921.857421875,16.743385314941406
759,per_sample_zscore,concat,mlp,local_value_abs,1.0,15,15,341.823974609375,3.595994234085083
760,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,3,15213.5224609375,16.52811050415039
761,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,1928.8424072265625,10.873098373413086
762,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,231.92364501953125,2.382474184036255
763,per_sample_zscore,concat,mlp,local_value_abs,0.7777777777777778,7,9,10041.638671875,11.023604393005371
764,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,7.6000823974609375,0.3209826350212097
765,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,71.6725082397461,1.6802071332931519
766,per_sample_zscore,concat,mlp,local_value_abs,0.9090909090909091,11,10,5247.24609375,7.701385974884033
767,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,6.646125316619873,0.3964124321937561
768,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,5.14528226852417,0.2822082042694092
769,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,385.47674560546875,3.529940605163574
770,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,33.590389251708984,0.8926423192024231
771,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,133.24156188964844,1.9024714231491089
772,per_sample_zscore,concat,mlp,local_value_abs,0.8,4,5,5534.11279296875,9.592227935791016
773,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,85.40312957763672,1.2541837692260742
774,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,363.1053771972656,3.104783773422241
775,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,52.81129837036133,0.9968498945236206
776,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,616.0472412109375,5.849299907684326
777,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,27.166038513183594,0.7377073764801025
778,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,131.87612915039062,1.908820629119873
779,per_sample_zscore,concat,mlp,local_value_abs,0.8888888888888888,8,9,5629.16064453125,9.36441707611084
780,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,69.74491882324219,1.3779640197753906
781,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,302.4228820800781,2.681751012802124
782,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,219.71212768554688,2.445880174636841
783,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,172.45480346679688,2.2610387802124023
784,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,37.81732177734375,0.9257543683052063
785,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,331.158203125,3.075849771499634
