sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1071,153590.96875,387.8410949707031
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,987,152544.15625,386.79412841796875
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1234,155626.71875,389.878662109375
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1028,153054.90625,387.3049011230469
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1115,154143.328125,388.39495849609375
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1202,155228.03125,389.4800109863281
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,993,152618.84375,386.868896484375
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1078,153680.234375,387.9309387207031
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1168,154802.5,389.0538330078125
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1113,154117.484375,388.368896484375
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1061,153467.609375,387.7181396484375
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1140,154454.046875,388.7055969238281
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1070,153580.140625,387.830810546875
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1024,153006.28125,387.2567138671875
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1265,156015.4375,390.26849365234375
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1071,153592.296875,387.8429260253906
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,987,152543.578125,386.7933654785156
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1234,155626.65625,389.8785705566406
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1028,153055.296875,387.3054504394531
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1115,154142.34375,388.39361572265625
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1202,155228.75,389.48101806640625
