sample_index,model,defect_type,area_bin,low_signal,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
166,multi_liftoff,rotated_rect,medium,True,False,True,False,21294.953125,41.8497200012207,0.2812846068660022,0.439066551426102,0.41506849315068495,1.4362894296646118,6.502216771871858,11.116201975331279,0.5039836168289185,4.987344264984131,0.7083361744880676,6.409021854400635
167,multi_liftoff,multi_defect,large,False,False,True,False,21406.787109375,41.62065124511719,0.3930968360498562,0.5643496214728149,0.5740922473012757,0.028851060196757317,6.608810489443528,15.51699974364736,-6.659912109375,4.939022064208984,-6.687090873718262,4.948701858520508
168,multi_liftoff,rotated_rect,medium,False,False,False,True,22724.517578125,44.198486328125,0.19779005524861878,0.33025830258302585,0.007407407407407408,1.470936894416809,8.283854622712624,8.222943926957385,5.61530065536499,4.88116455078125,5.539921760559082,6.350168704986572
169,multi_liftoff,polygon,medium,True,False,True,False,12698.70703125,34.55635070800781,0.5545212765957447,0.7134302822925578,0.4454787234042553,0.28014057874679565,6.349940032483758,11.451210801985098,-3.3395392894744873,5.00375509262085,-3.108093500137329,5.1615891456604
170,multi_liftoff,multi_defect,large,False,False,True,False,26145.19921875,48.702186584472656,0.34325889164598844,0.5110837438423645,0.4429530201342282,1.1922305822372437,8.847278558448593,15.8824639181788,5.952957630157471,4.903075218200684,6.107551097869873,3.72091007232666
171,multi_liftoff,rotated_rect,medium,False,False,True,False,22078.958984375,42.404510498046875,0.1739674593241552,0.29637526652452023,0.4020442930153322,1.7315934896469116,5.3449135525223,8.938644602081453,-6.331872463226318,4.939422607421875,-6.3461689949035645,3.207888126373291
172,multi_liftoff,polygon,medium,False,False,True,False,19299.3515625,43.95343780517578,0.43243243243243246,0.6037735849056604,0.2841726618705036,0.7114195227622986,9.090921341469553,12.699880064967516,-2.7773289680480957,4.960323810577393,-2.612161636352539,4.268342971801758
173,multi_liftoff,multi_defect,large,False,False,True,False,27525.5,49.387664794921875,0.4311008468052348,0.6024744486282948,0.4245762711864407,1.3826899528503418,10.33959060445197,17.968655247795766,-7.564219951629639,5.047827243804932,-7.361639499664307,6.4155964851379395
174,multi_liftoff,multi_defect,large,False,False,True,False,33372.35546875,88.41609191894531,0.6723387415908192,0.804070042593469,0.09296028880866426,0.43760401010513306,30.607624617008042,33.7445254484029,0.397134929895401,4.851902484893799,0.1761288195848465,5.229597568511963
175,multi_liftoff,rotated_rect,small,True,False,False,True,11958.71875,29.595897674560547,0.1437371663244353,0.2513464991023339,0.010830324909747292,1.5586069822311401,4.263748702866792,4.218065681050362,-6.870603084564209,4.8358588218688965,-6.816845893859863,6.393538475036621
176,multi_liftoff,rotated_rect,medium,True,False,True,False,26040.646484375,46.72201919555664,0.205607476635514,0.34108527131782945,0.5377833753148614,1.7788445949554443,5.5885563355432595,12.090773107415117,-4.149836540222168,5.067569255828857,-4.324962139129639,6.837772369384766
177,multi_liftoff,multi_defect,medium,True,False,True,False,25174.740234375,53.42539978027344,0.23316582914572864,0.378158109209454,0.4448669201520912,2.366333246231079,6.669721185198767,12.014634737721067,-3.7037928104400635,5.228541374206543,-1.4315876960754395,5.88931131362915
178,multi_liftoff,rotated_rect,medium,False,False,True,False,16177.1982421875,37.198917388916016,0.4762484774665043,0.6452145214521452,0.26609442060085836,0.12454459071159363,7.811796730609515,10.64414408322817,7.5880866050720215,5.446078777313232,7.6053009033203125,5.569427967071533
