seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin,polygon_component_present
2026,162,sample_163,val,rotated_rect+rotated_rect,0.6,0.7353689567430025,0.8475073313782991,0.11145510835913312,2.961615597405416,718,646,0,0.06135508045554161,0.18050789833068848,0.24186298251152039,0.0,0.9999345541000366,0.09115597605705261,2,2,0,1,0,0,0,0.5348189415041783,0.46518105849582175,1.0,multi_defect_pilot_gate_only,0.024013329631685815,medium,646,small,no
2026,163,sample_164,val,rectangular_notch+polygon,0.6,0.6602272727272728,0.7953456536618754,0.06647807637906648,3.2927878742851697,754,707,0,0.08355298638343811,0.23985612392425537,0.3234091103076935,5.987279735152199e-25,0.9978534579277039,0.09795898199081421,2,2,0,1,0,0,0,0.5557029177718833,0.4442970822281167,1.0,multi_defect_pilot_gate_only,0.024083189157584593,medium,707,medium,yes
2026,164,sample_165,val,rotated_rect+polygon,0.6,0.6365979381443299,0.7779527559055118,0.1896551724137931,1.8101537891420918,690,580,0,0.09145882725715637,0.24612611532211304,0.3375849425792694,2.2089944276053091e-38,0.9996234178543091,0.08877135068178177,2,2,0,1,0,0,0,0.5260869565217391,0.47391304347826085,1.0,multi_defect_pilot_gate_only,0.024013329631685815,medium,580,small,yes
2026,165,sample_166,val,rectangular_notch+rectangular_notch,0.6,0.5116731517509727,0.676962676962677,0.3254310344827586,5.5498525684734,626,928,0,0.21686393022537231,0.3228766918182373,0.5397406220436096,0.0,0.999923586845398,0.0810151994228363,2,2,0,1,0,0,0,0.5543130990415336,0.44568690095846647,1.0,multi_defect_pilot_gate_only,0.026076809620810593,medium,928,large,no
2026,166,sample_167,val,rectangular_notch+rotated_rect,0.6,0.6365740740740741,0.7779349363507779,0.11044776119402985,5.66997853176498,744,670,0,0.13023453950881958,0.25230467319488525,0.38253921270370483,2.271506295063443e-28,0.9999387264251709,0.09536818414926529,2,2,0,1,0,0,0,0.5752688172043011,0.42473118279569894,1.0,multi_defect_pilot_gate_only,0.026012304780622574,medium,670,medium,no
2026,167,sample_168,val,rotated_rect+rotated_rect,0.6,0.6266490765171504,0.7704785077047851,0.19395017793594305,6.181729348881237,671,562,0,0.10441400855779648,0.25171536207199097,0.35612937808036804,2.383050130248634e-38,0.999745786190033,0.08355657756328583,2,2,0,1,0,0,0,0.5529061102831595,0.44709388971684055,1.0,multi_defect_pilot_gate_only,0.026076809620810593,medium,562,small,no
2026,168,sample_169,val,rectangular_notch+polygon,0.6,0.7942998760842627,0.8853591160220995,0.07747489239598278,2.5274568104469983,751,697,0,0.047579146921634674,0.15585458278656006,0.20343372225761414,0.0,0.9999079704284668,0.09616454690694809,2,2,0,1,0,0,0,0.5619174434087882,0.4380825565912117,1.0,multi_defect_pilot_gate_only,0.026012304780622574,medium,697,medium,yes
2026,169,sample_170,val,rotated_rect+polygon,0.6,0.588748787584869,0.7411477411477412,0.0024449877750611247,4.552430233633001,820,818,0,0.17107541859149933,0.26985597610473633,0.44093137979507446,6.764944598304287e-31,0.9999369382858276,0.10437484085559845,2,2,0,1,0,0,0,0.5304878048780488,0.4695121951219512,1.0,multi_defect_pilot_gate_only,0.026076809620810593,medium,818,large,yes
2026,170,sample_171,val,rectangular_notch+rectangular_notch,0.6,0.53125,0.6938775510204082,0.21216216216216216,1.5567643043648849,583,740,0,0.18112699687480927,0.3096858263015747,0.49081283807754517,3.086844721428221e-34,0.9992271661758423,0.07603085041046143,2,2,0,1,0,0,0,0.5523156089193825,0.44768439108061747,1.0,multi_defect_pilot_gate_only,0.028011426240018556,far,740,medium,no
2026,171,sample_172,val,rectangular_notch+rotated_rect,0.6,0.5985037406483791,0.748829953198128,0.12603648424543948,2.5772274384534772,679,603,0,0.1150461733341217,0.28311264514923096,0.39815881848335266,3.2181380948074543e-25,0.9997047781944275,0.08895449340343475,2,2,0,1,0,0,0,0.5022091310751104,0.49779086892488955,1.0,multi_defect_pilot_gate_only,0.0280713376952364,far,603,small,no
2026,172,sample_173,val,rotated_rect+rotated_rect,0.6,0.666283084004603,0.7997237569060773,0.18318695106649938,0.8711938981798586,651,797,0,0.1215495839715004,0.21879124641418457,0.34034082293510437,0.0,0.9998503923416138,0.0831860899925232,2,2,0,1,0,0,0,0.5099846390168971,0.49001536098310294,1.0,multi_defect_pilot_gate_only,0.028011426240018556,far,797,large,no
2026,173,sample_174,val,rectangular_notch+polygon,0.6,0.5645161290322581,0.7216494845360825,0.31687898089171973,1.2908451039992255,827,628,0,0.15525293350219727,0.29015254974365234,0.4454054832458496,4.171733942152294e-33,0.9999988079071045,0.10508152842521667,2,2,0,1,0,0,0,0.6819830713422007,0.3180169286577993,1.0,multi_defect_pilot_gate_only,0.0280713376952364,far,628,small,yes
