candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
geometry_forward_candidate_mean,mean,test,area_bin,large,0.95,46,0.45061577897497157,0.6102482478840057,0.15372477106999327,1.0596793473198793,0.0,24.0,22.0,0.2051905620492239,0.907139255788984,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,area_bin,large,0.95,46,0.005228697555732326,0.004284795786137515,0.007766730866784878,0.00723511358081985,0.0,2.6457513110645907,2.6457513110645907,0.020827360168901177,0.00247219963204252,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,area_bin,medium,0.95,46,0.3687032772705892,0.5253578427437736,0.318156667188942,1.0817894887557065,0.0,6.333333333333333,39.333333333333336,0.3655205118483391,0.5759044528254208,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,area_bin,medium,0.95,46,0.003529955116808093,0.005271489710248499,0.02078964737427993,0.018956591523123085,0.0,2.0816659994661326,2.516611478423583,0.049915241810983654,0.01662872574701,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,area_bin,small,0.95,46,0.25696595670720007,0.38719917076724686,0.9826572456636473,1.368696611482596,0.0,1.3333333333333333,44.666666666666664,0.3559573641505794,-0.33849211818920044,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,area_bin,small,0.95,46,0.004399488917185455,0.006446897566709081,0.10159655903100413,0.020602649541041393,0.0,0.5773502691896257,0.5773502691896258,0.05293196574538225,0.09075568051913821,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,defect_type,polygon,0.95,75,0.311593031101096,0.45223024287919716,0.6470733825245535,1.1888780202799374,0.0,12.666666666666666,62.0,0.3270358153929313,0.1167498914557396,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,defect_type,polygon,0.95,75,0.005552109668463984,0.007425970786813184,0.05668037173678198,0.015712208654010712,0.0,1.5275252316519468,2.0,0.04154442761721887,0.04379138241664456,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,defect_type,rotated_rect,0.95,63,0.4149148137022984,0.5735202191782763,0.2917186630332902,1.1476469693123976,0.0,19.0,44.0,0.2872866983451541,0.6967163698472846,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,defect_type,rotated_rect,0.95,63,0.0039920542682637125,0.0031612196322369497,0.02268271186338559,0.01660964519783602,0.0,3.4641016151377544,3.4641016151377544,0.03680770212451194,0.02190901064171579,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,overall,all,0.95,138,0.3587616709842536,0.507601753798342,0.48484622797419413,1.1700551491860607,0.0,31.666666666666668,106.0,0.3088894793493808,0.3815171968084015,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,overall,all,0.95,138,0.0023689889976027966,0.004045107282609988,0.039727695310321054,0.012753303456530002,0.0,4.932882862316247,5.291502622129181,0.03937911653275809,0.03354292061391892,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,signal_bin,low_signal,0.95,46,0.2846526019994329,0.41894036118659556,0.776627016685567,1.2908737724242003,0.0,8.333333333333334,37.666666666666664,0.3909781944492589,-0.07303405349953869,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,signal_bin,low_signal,0.95,46,0.01042422030555504,0.01411742453276195,0.09938974608927878,0.020794819708728006,0.0,2.081665999466133,2.0816659994661326,0.07152781176198462,0.07587306287575132,0.03354292061391894,,,
geometry_forward_candidate_mean,mean,test,signal_bin,non_low_signal,0.95,92,0.395816205476664,0.5519324501042154,0.33895583361850784,1.1096458375669906,0.0,23.333333333333332,68.33333333333333,0.26784512179944175,0.6087928219623715,0.3815171968084014,,,
geometry_forward_candidate_std,sample_std,test,signal_bin,non_low_signal,0.95,92,0.003639369966775739,0.00384965957505595,0.013283530173323064,0.013106259777198549,0.0,3.0550504633038935,3.511884584284246,0.02618039739992084,0.012487753797863044,0.03354292061391894,,,
deformable_quad_forward_screening,42,val,overall,all,0.5,129,0.3644553467414597,0.5174650782085768,0.8588457524024494,1.0896574219529942,0,2,127,0.28220145581939887,0.023074672547587105,0.023074672547587143,13.21137235132178,0,0
