model,selected,split,threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,val,0.7999999999999999,7.906284123990075,60,16,23,2,1,0.875,0.6086956521739131,0.5,1.0,0.05405405405405406,0.7333333333333333,2.4999167203903196,0.3716945111751553
logistic_regression_balanced,False,val,0.80377239,7.732860049288435,60,15,23,2,1,0.8666666666666667,0.5652173913043478,0.5,1.0,0.05405405405405406,0.75,2.1119735002517714,0.3768109977245331
logistic_regression_balanced,False,val,0.8112998672385503,7.732860049288435,60,15,23,2,1,0.8666666666666667,0.5652173913043478,0.5,1.0,0.05405405405405406,0.75,2.1119735002517714,0.3768109977245331
logistic_regression_balanced,False,val,0.8338823,7.732860049288435,60,15,23,2,1,0.8666666666666667,0.5652173913043478,0.5,1.0,0.05405405405405406,0.75,2.1119735002517714,0.3768109977245331
logistic_regression_balanced,False,val,0.85,7.583273517120668,60,14,23,2,1,0.8571428571428571,0.5217391304347826,0.5,1.0,0.05405405405405406,0.7666666666666667,1.819380450248718,0.3819274842739102
logistic_regression_balanced,False,val,0.9,7.583273517120668,60,14,23,2,1,0.8571428571428571,0.5217391304347826,0.5,1.0,0.05405405405405406,0.7666666666666667,1.819380450248718,0.3819274842739102
logistic_regression_balanced,False,val,0.91599507,7.6565239485874175,60,13,23,2,1,0.9230769230769231,0.5217391304347826,0.5,1.0,0.02702702702702703,0.7833333333333333,1.8329413652420055,0.387043970823288
logistic_regression_balanced,False,val,0.94514339,7.581761958226824,60,12,23,2,1,0.9166666666666666,0.4782608695652174,0.5,1.0,0.02702702702702703,0.8,1.8396464824676517,0.39216045737266514
logistic_regression_balanced,False,val,0.9452463051729495,7.581761958226824,60,12,23,2,1,0.9166666666666666,0.4782608695652174,0.5,1.0,0.02702702702702703,0.8,1.8396464824676517,0.39216045737266514
logistic_regression_balanced,False,val,0.94565798,7.6547675397732995,60,11,23,2,1,1.0,0.4782608695652174,0.5,1.0,0.0,0.8166666666666667,1.8522279977798473,0.39727694392204316
logistic_regression_balanced,False,val,0.95,7.6547675397732995,60,11,23,2,1,1.0,0.4782608695652174,0.5,1.0,0.0,0.8166666666666667,1.8522279977798473,0.39727694392204316
logistic_regression_balanced,False,val,0.97009728,7.581474648934344,60,10,23,2,1,1.0,0.43478260869565216,0.5,1.0,0.0,0.8333333333333334,1.864809513092042,0.4023934304714203
logistic_regression_balanced,False,val,0.97156135,7.581474648934344,60,10,23,2,1,1.0,0.43478260869565216,0.5,1.0,0.0,0.8333333333333334,1.864809513092042,0.4023934304714203
