source_index,sample_id,split,defect_type,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
126,rot_0007,train,rotated_rect,-30.0,0,0.5,0.948943661971831,0.973803071364047,0.016129032258064516,0.25152493122081254,549,558,0,0.010854920372366905,0.03735476732254028,0.04820968955755234,0.0,1.0,0.0670185536146164,mixed_pilot_v6_training_gate_only
127,rot_0008,train,rotated_rect,-10.0,0,0.5,0.9,0.9473684210526315,0.03214285714285714,0.24011098531594166,542,560,0,0.01917904056608677,0.06301158666610718,0.0821906253695488,0.0,1.0,0.0669797882437706,mixed_pilot_v6_training_gate_only
128,rot_0009,train,rotated_rect,10.0,0,0.5,0.897119341563786,0.9457700650759219,0.07916666666666666,0.10956302829971566,221,240,0,0.013471781276166439,0.05847138166427612,0.07194316387176514,0.0,1.0,0.027290165424346924,mixed_pilot_v6_training_gate_only
129,rot_0010,train,rotated_rect,30.0,0,0.5,0.8096885813148789,0.8948374760994264,0.06296296296296296,0.8232405525852279,506,540,0,0.05167713761329651,0.11107951402664185,0.16275665163993835,0.0,1.0,0.06163281947374344,mixed_pilot_v6_training_gate_only
130,rot_0011,train,rotated_rect,20.0,0,0.5,0.8327868852459016,0.9087656529516994,0.010676156583629894,1.2692573273591043,556,562,0,0.031930577009916306,0.09871047735214233,0.13064105808734894,0.0,0.9999997615814209,0.06885232031345367,mixed_pilot_v6_training_gate_only
131,rot_0012,train,rotated_rect,-20.0,0,0.5,0.8585526315789473,0.9238938053097345,0.017857142857142856,0.44375039452057713,570,560,0,0.030744556337594986,0.08406329154968262,0.1148078441619873,0.0,1.0,0.06944528967142105,mixed_pilot_v6_training_gate_only
132,rot_0013,train,rotated_rect,-10.0,0,0.5,0.828125,0.905982905982906,0.05,0.7043057034629487,228,240,0,0.014888407662510872,0.09332376718521118,0.1082121729850769,0.0,0.9999998807907104,0.02807491272687912,mixed_pilot_v6_training_gate_only
133,rot_0014,train,rotated_rect,10.0,0,0.5,0.8884955752212389,0.9409559512652296,0.02040816326530612,0.1977672595255156,528,539,0,0.020570453256368637,0.06915318965911865,0.08972364664077759,0.0,0.9999998807907104,0.06395376473665237,mixed_pilot_v6_training_gate_only
134,rot_0015,train,rotated_rect,30.0,0,0.5,0.8426229508196721,0.9145907473309609,0.007142857142857143,1.077760378754474,564,560,0,0.03734314441680908,0.0978553295135498,0.1351984739303589,0.0,1.0,0.06936021894216537,mixed_pilot_v6_training_gate_only
135,rot_0016,train,rotated_rect,-30.0,0,0.5,0.8624787775891342,0.92616226071103,0.03756708407871199,0.6409218379341183,538,559,0,0.02734515070915222,0.08393245935440063,0.11127761006355286,0.0,0.9999998807907104,0.06609579920768738,mixed_pilot_v6_training_gate_only
136,rot_0017,train,rotated_rect,-20.0,0,0.5,0.8687258687258688,0.9297520661157025,0.008298755186721992,0.2797364086734546,243,241,0,0.011383004486560822,0.07396960258483887,0.08535260707139969,0.0,0.9999998807907104,0.029786357656121254,mixed_pilot_v6_training_gate_only
137,rot_0018,train,rotated_rect,-10.0,0,0.5,0.8235294117647058,0.9032258064516129,0.10204081632653061,0.9469537839405335,484,539,0,0.03143177926540375,0.10283488035202026,0.134266659617424,0.0,0.9999997615814209,0.059170205146074295,mixed_pilot_v6_training_gate_only
138,rot_0019,train,rotated_rect,10.0,0,0.5,0.9411764705882353,0.9696969696969697,0.0,0.5140679041089038,561,561,0,0.013691248372197151,0.03815186023712158,0.051843106746673584,0.0,1.0,0.06821120530366898,mixed_pilot_v6_training_gate_only
139,rot_0020,train,rotated_rect,20.0,0,0.5,0.8635578583765112,0.9267840593141798,0.0766488413547237,0.3697960429836649,518,561,0,0.02992708794772625,0.08449804782867432,0.11442513763904572,0.0,0.9999998807907104,0.06409820169210434,mixed_pilot_v6_training_gate_only
140,rot_0021,train,rotated_rect,-30.0,0,0.5,0.828,0.9059080962800875,0.09583333333333334,0.2140597518768558,217,240,0,0.025980863720178604,0.10005253553390503,0.12603339552879333,0.0,1.0,0.02642018347978592,mixed_pilot_v6_training_gate_only
141,rot_0022,train,rotated_rect,-20.0,0,0.5,0.8336221837088388,0.9092627599243857,0.040740740740740744,0.74252836301463,518,540,0,0.03417721018195152,0.09840553998947144,0.13258275389671326,0.0,1.0,0.06327247619628906,mixed_pilot_v6_training_gate_only
142,rot_0023,train,rotated_rect,-10.0,0,0.5,0.9424083769633508,0.9703504043126685,0.016042780748663103,0.04951713712593164,552,561,0,0.011274762451648712,0.04075944423675537,0.05203420668840408,0.0,1.0,0.06765901297330856,mixed_pilot_v6_training_gate_only
