seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,predicted_component_count_is_3,extra_fragment_flag,third_largest_component_area_ratio,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,41,sample_042,val,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.7373737373737373,0.8488372093023255,0.17345132743362832,2.3675853830904896,467,565,0,0.06614631414413452,0.17590820789337158,0.2420545220375061,0.0,0.9999971389770508,0.055109456181526184,3,3,0,0,0,0,0,0.3490364025695932,0.3340471092077088,1.0,multi_defect_pilot_gate_only,1,0,0.3169164882226981,0.01714322023425004,medium,565,large
42,42,sample_043,val,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5791304347826087,0.7334801762114538,0.24752475247524752,2.5051904847081867,504,404,0,0.11897789686918259,0.29335856437683105,0.41233646869659424,0.0,0.9999991655349731,0.05902707576751709,3,3,0,0,0,0,0,0.3968253968253968,0.30952380952380953,1.0,multi_defect_pilot_gate_only,1,0,0.29365079365079366,0.01714322023425004,medium,404,small
42,43,sample_044,val,rotated_rect+rotated_rect+rotated_rect,0.4,0.6208695652173913,0.7660944206008584,0.008547008547008548,3.052170490191415,464,468,0,0.11239517480134964,0.2341846227645874,0.34657979011535645,0.0,0.9999998807907104,0.05602463334798813,3,3,0,0,0,0,0,0.38362068965517243,0.3168103448275862,1.0,multi_defect_pilot_gate_only,1,0,0.2995689655172414,0.01714322023425004,medium,468,medium
42,44,sample_045,val,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.6607717041800643,0.7957405614714425,0.10110294117647059,0.9401406122857264,489,544,0,0.10652231425046921,0.23077213764190674,0.33729445934295654,7.556580441585578e-38,0.9999489784240723,0.05681006982922554,3,3,0,0,0,0,0,0.35991820040899797,0.3231083844580777,1.0,multi_defect_pilot_gate_only,1,0,0.3169734151329243,0.0195386795869117,far,544,large
42,45,sample_046,val,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.6714031971580817,0.8034006376195537,0.0021231422505307855,3.67943226077412,470,471,0,0.06588958203792572,0.21560972929000854,0.28149932622909546,7.576553428857293e-38,0.9999282360076904,0.055658742785453796,3,3,0,0,0,0,0,0.35106382978723405,0.3276595744680851,1.0,multi_defect_pilot_gate_only,1,0,0.32127659574468087,0.0195386795869117,far,471,medium
42,46,sample_047,val,rectangular_notch+rotated_rect+rotated_rect,0.4,0.3643292682926829,0.5340782122905028,0.0022371364653243847,6.658776640785431,448,447,0,0.4815269410610199,0.46676307916641235,0.9482899904251099,0.0,1.0,0.05429356172680855,3,3,0,0,0,0,0,0.3482142857142857,0.33482142857142855,1.0,multi_defect_pilot_gate_only,1,0,0.3169642857142857,0.0195386795869117,far,447,small
42,47,sample_048,val,rotated_rect+rotated_rect+rotated_rect,0.4,0.7280550774526678,0.8426294820717132,0.03137254901960784,2.3281458754180973,494,510,0,0.049310773611068726,0.21547168493270874,0.26478245854377747,8.722718230093702e-24,0.9982831478118896,0.05753941461443901,3,3,0,0,0,0,0,0.3522267206477733,0.3360323886639676,1.0,multi_defect_pilot_gate_only,1,0,0.3117408906882591,0.0195386795869117,far,510,large
42,48,sample_049,val,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.312242090784044,0.4758909853249476,0.14382022471910114,3.359484341856625,509,445,0,0.21125049889087677,0.5349950790405273,0.7462455630302429,3.296496021671984e-29,0.9995083808898926,0.06021672487258911,3,3,0,0,0,0,0,0.381139489194499,0.3163064833005894,1.0,multi_defect_pilot_gate_only,1,0,0.3025540275049116,0.016906803364326446,near,445,small
42,49,sample_050,val,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.7190812720848057,0.8365878725590956,0.08086785009861933,4.679313070253383,466,507,0,0.06519647687673569,0.17544031143188477,0.24063679575920105,0.0,0.9999998807907104,0.0567932054400444,3,3,0,0,0,0,0,0.38197424892703863,0.315450643776824,1.0,multi_defect_pilot_gate_only,1,0,0.30257510729613735,0.016906803364326446,near,507,large
42,50,sample_051,test,rectangular_notch+rotated_rect+rotated_rect,0.4,0.6660929432013769,0.7995867768595041,0.004140786749482402,0.94497818629773,485,483,0,0.0646856278181076,0.2301674485206604,0.2948530912399292,2.7124909150563126e-38,0.9998931884765625,0.05715630576014519,3,3,0,0,0,0,0,0.35051546391752575,0.3319587628865979,1.0,multi_defect_pilot_gate_only,1,0,0.31752577319587627,0.016906803364326446,near,483,medium
42,51,sample_052,test,rotated_rect+rotated_rect+rotated_rect,0.4,0.5811258278145696,0.7350785340314137,0.014767932489451477,1.972194082611651,481,474,0,0.13891179859638214,0.279047429561615,0.41795921325683594,0.0,0.9999998807907104,0.05653052777051926,3,3,0,0,0,0,0,0.35343035343035345,0.340956340956341,1.0,multi_defect_pilot_gate_only,1,0,0.30561330561330563,0.016906803364326446,near,474,medium
