candidate,split,liftoff_subset,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,seed,selected_seed,best_epoch,best_val_selection_metric
C1_unconditioned_liftoff_aug,val,all_liftoff,32,0.7226853016763926,0.576131911482662,0.869238696526736,2.2205364336259663,1.773207843187265,1.1739944073488005,0.1463744156062603,0.2488849926739931,0.18044667690992355,0.19190202828031033,0.7371233996011697,0.8382440972090097,0.0006131778278586353,0.5547802936052904,0.001173994409327861,1.0238202077013947,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,val,nominal_0p008,8,0.6825139876455069,0.5356920454651117,0.8293359465897083,2.3010391015559435,1.7119887098670006,1.020512138493359,0.13550035655498505,0.24046512693166733,0.1729923114180565,0.18298593116924167,0.7271691614343461,0.8323930902971566,0.0005163366386113921,0.4700415921397507,0.0010205121507169679,0.8810144706257335,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,val,non_nominal,24,0.7360757396866878,0.5896118668218454,0.8825396131724119,2.1937022109826407,1.7936142209606867,1.2251551636339475,0.1499991019566854,0.2516916145881017,0.18293146540721258,0.19487406065066656,0.7404414789901109,0.8401944328462942,0.000645458224274383,0.5830265274271369,0.0012251551621981587,1.0714221200599485,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,test,all_liftoff,32,0.9128619553521276,0.6715883063152432,1.1541356220841408,2.3863788340240717,1.9213274174835533,1.4536926401779056,0.28807911835610867,0.2289104424417019,0.25331512093544006,0.2567682274384424,0.7236637554454307,0.8306818275813175,0.0006773821414753911,0.9007486521732062,0.0014536926355503965,1.5443730123308568,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,test,nominal_0p008,8,0.9133473299443722,0.6534735336899757,1.17322114482522,2.3120659049600363,1.6829162016510963,1.4665067940950394,0.29710571467876434,0.2229306623339653,0.2630744129419327,0.261036928743124,0.7370706230652453,0.8434417034789532,0.0006846498235972831,0.9008680433034897,0.0014665068010799587,1.3033134827193622,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,test,non_nominal,24,0.9127001638213793,0.677626563856999,1.1477737811704476,2.4111498103787503,2.000797822761039,1.449421255538861,0.2850702529152234,0.23090370247761408,0.2500620235999425,0.25534532700354856,0.7191947995721591,0.8264285356154387,0.0006749595807680938,0.9007088551297784,0.0014494212470405425,1.6247261888680218,2026,False,13,0.9536421746015549
C2_sensor_z_conditioned,train,all_liftoff,128,0.3878903064178303,0.33991539468843257,0.43586521446559345,1.3447781759896316,1.4865186177485157,0.5673075554950628,0.11511973477900028,0.09287438541650772,0.0838322276249528,0.09727544953329925,0.8267981715921244,0.9006547273298935,0.00026672265964577946,0.2022554344002856,0.0005673075575032271,0.2932597312130074,42,False,14,0.946381351351738
C2_sensor_z_conditioned,train,nominal_0p008,32,0.40218469640240073,0.35614987509325147,0.44821950973710045,1.3576729902997613,1.4292915186379105,0.6403606576495804,0.11681815981864929,0.09810273163020611,0.08511360175907612,0.10001149843083113,0.8211815625097751,0.896750743978902,0.0003038609477528098,0.23738885906641372,0.0006403606639651116,0.34364826536815285,42,False,14,0.946381351351738
C2_sensor_z_conditioned,train,non_nominal,96,0.3831255097563068,0.3345039012201596,0.4317471160417578,1.3404799045529217,1.5055943174520507,0.542956521443557,0.11455359309911728,0.09113160334527493,0.08340510291357835,0.09636343323412196,0.8286703746195743,0.9019560551135575,0.00025434323027676936,0.19054429284490956,0.0005429565220159324,0.27646355316129223,42,False,14,0.946381351351738
C2_sensor_z_conditioned,val,all_liftoff,32,0.7203463092446327,0.5399395083077252,0.9007531087845564,2.1644795606844127,2.190654181409627,0.9401196807157248,0.1626701969653368,0.24571778066456318,0.18887201137840748,0.19908666331321,0.6957777720726421,0.810884670747898,0.0004999026723453426,0.44759459677152336,0.0009401196693943348,0.6849937404416938,42,False,14,0.946381351351738
