group_field,group_value,split,sample_count,oracle_fit_success_rate,rbc_representable_rate,oracle_profile_depth_rmse_mean_m,oracle_profile_depth_rmse_p95_m,oracle_Er_like_mean,oracle_projected_mask_Dice_mean,oracle_projected_mask_IoU_mean,oracle_area_error_mean,primary_interpretation
representation_target,six_param_rbc,all,24,1.0,1.0,4.089406676058101e-05,7.474320706538308e-05,0.20587309157387704,0.9656262234493874,0.933662999355637,0.023727127598888082,RBC representation adequate
representation_target,component_set,train,9,1.0,0.0,0.0002578012512187077,0.0004617668101499964,0.9117594682895055,0.3521540337156892,0.23483131335327295,0.3785805002935951,RBC representation failure
representation_target,depth_grid,train,9,1.0,1.0,0.00011137632250934174,0.00021230789539813006,0.3991426745309613,0.8961106766387803,0.8118387832999837,0.023419401016515407,RBC representation adequate
representation_target,polygon_or_contour,train,30,1.0,1.0,9.702037352623155e-05,0.00019680422960553215,0.28577272334565007,0.9295655700580215,0.8689138239854056,0.11663655286945272,RBC representation adequate
representation_target,profile_basis,train,10,1.0,1.0,6.509888336339627e-05,0.00012447572241420027,0.32580724410177714,0.972382065544228,0.9462898675571502,0.022239179105992428,RBC representation adequate
representation_target,six_param_rbc,train,14,1.0,1.0,3.71623433215979e-05,7.031467462386008e-05,0.20943635629210533,0.9651052761429162,0.9327467792791487,0.01963584859529175,RBC representation adequate
representation_target,component_set,val,3,1.0,0.0,0.00020118208243571868,0.00026860875265099485,0.887815690931507,0.42421568627450984,0.2841283656091474,0.446620680600901,RBC representation failure
representation_target,depth_grid,val,4,1.0,1.0,8.963728361687694e-05,0.00010579127264124,0.38854960403084304,0.8991690751833434,0.816849656198048,0.020106801935691955,RBC representation adequate
representation_target,polygon_or_contour,val,9,1.0,1.0,9.418920059200262e-05,0.00011166823602516723,0.2813834785641301,0.9329093990257028,0.8747056161253557,0.10401457576004042,RBC representation adequate
representation_target,profile_basis,val,3,1.0,1.0,6.457858211096389e-05,6.854859429999552e-05,0.3206227404538784,0.9744912092738179,0.9502869153287493,0.026900202075870305,RBC representation adequate
representation_target,six_param_rbc,val,5,1.0,1.0,4.1923638129086984e-05,7.377885395076633e-05,0.20163205155475464,0.9661597472083011,0.9345661240497563,0.02396639584145456,RBC representation adequate
representation_target,component_set,test,4,1.0,0.0,0.00039411545241877486,0.0005519804547869628,0.9574631184011827,0.2616456426688808,0.17073091508420496,0.28156955671406303,RBC representation failure
representation_target,depth_grid,test,3,1.0,1.0,0.00017781879228310625,0.00021365229485570603,0.3933320474848176,0.8984189020143653,0.8155927605639932,0.005006131974069591,RBC representation adequate
representation_target,polygon_or_contour,test,9,1.0,1.0,0.0001669534672988668,0.00022369139114813123,0.29086891076023963,0.9306289963946038,0.8707321529682042,0.1103624135103559,RBC representation adequate
representation_target,profile_basis,test,3,1.0,1.0,0.00010806610475646042,0.00012795472000208096,0.312138139250097,0.9745735625725768,0.9504309462915601,0.01956958028922047,RBC representation adequate
representation_target,six_param_rbc,test,5,1.0,1.0,5.031332102122776e-05,7.25901715308655e-05,0.2001369903819603,0.9665513521485931,0.9353252908756851,0.03494344056639135,RBC representation adequate
