sample_index,defect_type,true_area,area_bin,baseline_iou,baseline_dice,baseline_area_error,baseline_pred_area,baseline_center_error,baseline_defect_mae,baseline_background_mae,composite_mean_iou,composite_mean_dice,composite_mean_area_error,composite_mean_pred_area,composite_mean_center_error,composite_mean_defect_mae,composite_mean_background_mae,delta_iou,delta_dice,delta_area_error,delta_pred_area,delta_center_error,delta_defect_mae,delta_background_mae,baseline_pred_area_zero,composite_pred_area_zero,pred_area_zero_repaired,composite_clearly_worse
90,rotated_rect,7.126551403363067,small,0.2872503840245776,0.44630071599045346,0.2094017094017094,5.634239357359689,1.3159708976745605,567.6542358398438,22.747751235961914,0.25785551035273563,0.4072008696578571,0.15527065527065528,6.020007097142876,1.3899412949879963,569.2588704427084,26.977794647216797,-0.02939487367184196,-0.03909984633259633,-0.054131054131054124,0.38576773978318624,0.0739703973134358,1.6046346028646212,4.230043411254883,False,False,False,False
91,polygon,4.431253116193702,small,0.3185483870967742,0.4831804281345566,0.24742268041237114,5.52764563978802,0.9143787622451782,506.90850830078125,21.31034278869629,0.3696029730666602,0.538362224224148,0.6013745704467354,7.096096055485447,0.9094547430674235,435.49688720703125,29.677897771199543,0.05105458596988599,0.05518179608959145,0.3539518900343642,1.568450415697427,-0.004924019177754757,-71.41162109375,8.367554982503254,False,False,False,True
92,rotated_rect,7.796569056670705,medium,0.46570972886762363,0.6354733405875952,0.205078125,6.197663293095658,0.9213389158248901,533.1942138671875,21.287700653076172,0.4547050684109384,0.6227208853854428,0.3092447916666667,5.385520683025793,0.8498081763585409,528.8436482747396,25.70012601216634,-0.011004660456685245,-0.012752455202152402,0.10416666666666669,-0.8121426100698654,-0.07153073946634925,-4.350565592447879,4.412425359090168,False,False,False,True
93,polygon,7.979301143936425,medium,0.16958041958041958,0.28998505231689087,0.7232824427480916,2.208012721127446,1.10247802734375,596.9360961914062,17.227102279663086,0.11162702167740489,0.1981970240034756,0.8180661577608143,1.451704915499884,0.9110389550526937,630.6704305013021,19.41869290669759,-0.057953397903014695,-0.09178802831341526,0.09478371501272265,-0.7563078056275618,-0.19143907229105628,33.73433430989587,2.191590627034504,False,False,False,True
94,multi_defect,16.21747274483262,large,0.334958217270195,0.5018257694314032,0.2,12.973978195866096,0.48531508445739746,571.1736450195312,40.50737762451172,0.31274216316884873,0.4720353387117753,0.26353677621283256,15.161687351741795,0.8932940165201823,532.7510477701823,50.065467834472656,-0.02221605410134625,-0.029790430719627947,0.06353677621283255,2.1877091558757,0.4079789320627848,-38.422597249348996,9.558090209960938,False,False,False,False
95,polygon,4.827172638602761,small,0.0,0.0,1.0,0.0,nan,720.4527587890625,10.586444854736328,0.08739125031071339,0.15172982386097142,0.711882229232387,1.3907942197446441,1.0259737372398376,659.4115397135416,20.90503184000651,0.08739125031071339,0.15172982386097142,-0.288117770767613,1.3907942197446441,nan,-61.04121907552087,10.318586985270183,True,False,True,False
96,rotated_rect,14.055143045521604,large,0.3973288814691152,0.5686977299880526,0.18634886240520043,11.435983128046288,1.389902949333191,519.8250732421875,26.42803192138672,0.4211391872194293,0.5915471060227455,0.08847959552184904,13.440960196656269,1.3743396202723186,465.73114013671875,31.55974769592285,0.023810305750314065,0.022849376034692948,-0.09786926688335139,2.00497706860998,-0.015563329060872322,-54.09393310546875,5.131715774536133,False,False,False,False
97,multi_defect,11.694853585006058,medium,0.22323462414578588,0.3649906890130354,0.6015625,4.659668225275851,3.189502477645874,576.7028198242188,30.293176651000977,0.31520674819221844,0.4763069211178561,0.5572916666666666,9.451309624688056,2.7726048628489175,501.7084452311198,44.04769388834635,0.09197212404643257,0.11131623210482072,-0.04427083333333337,4.791641399412205,-0.41689761479695653,-74.99437459309894,13.754517237345375,False,False,False,False
98,multi_defect,14.100826067338033,large,0.4002079002079002,0.5716406829992576,0.5453563714902808,6.410850728238998,0.8391008973121643,570.8106079101562,13.565585136413574,0.5274727530302984,0.6879639338769449,0.37976961843052554,10.755813692112776,0.8137811819712321,448.97544352213544,23.643131891886394,0.1272648528223982,0.11632325087768725,-0.1655867530597553,4.344962963873778,-0.025319715340932247,-121.83516438802081,10.07754675547282,False,False,False,False
99,multi_defect,8.953872276020263,medium,0.13141025641025642,0.23229461756373937,0.7993197278911565,1.7968655247795766,2.5031206607818604,617.1696166992188,36.66587448120117,0.24687067527684992,0.3789447193827873,0.4761904761904762,4.690123573153471,1.481153925259908,589.1542358398438,37.4693800608317,0.1154604188665935,0.14665010181904792,-0.32312925170068024,2.8932580483738946,-1.0219667355219524,-28.015380859375,0.8035055796305315,False,False,False,False
100,polygon,5.801743770686599,small,0.5904139433551199,0.7424657534246575,0.08398950131233596,5.31445820464468,0.23393529653549194,474.52239990234375,21.096302032470703,0.5519272725243877,0.710281730712612,0.2047244094488189,6.989502337913777,0.37679719428221387,414.5150146484375,26.592631657918293,-0.038486670830732206,-0.03218402271204546,0.12073490813648294,1.6750441332690968,0.14286189774672192,-60.00738525390625,5.49632962544759,False,False,False,True
101,multi_defect,15.65404880909665,large,0.4103299856527977,0.5818921668362157,0.08754863813229571,14.283558154603753,1.1681134700775146,533.8450927734375,44.442108154296875,0.4058195485385205,0.5766831866636756,0.17866407263294426,15.831705005049434,0.9862906336784363,494.20945231119794,47.52540588378906,-0.004510437114277233,-0.005208980172540123,0.09111543450064855,1.548146850445681,-0.18182283639907837,-39.635640462239564,3.0832977294921875,False,False,False,False
102,polygon,10.6898271050446,medium,0.32858990944372574,0.4946445959104187,0.5370370370370371,4.948994030113241,1.063307285308838,602.4539794921875,13.094755172729492,0.4184375488166958,0.5882382117488061,0.3779677113010446,6.6494176199470205,0.9582383433977762,526.0704243977865,20.524587631225586,0.08984763937297008,0.09359361583838738,-0.15906932573599247,1.7004235898337798,-0.10506894191106164,-76.383555094401,7.429832458496094,False,False,False,False
103,multi_defect,17.755467812652427,large,0.2569395017793594,0.4088335220838052,0.4854202401372213,9.136604363285983,2.4050350189208984,602.9790649414062,38.10723114013672,0.328719968202898,0.4939519506140973,0.2935963407661521,18.988909401696034,1.4955658515294392,506.9905090332031,56.26699574788412,0.07178046642353858,0.08511842853029211,-0.1918238993710692,9.852305038410051,-0.9094691673914592,-95.98855590820312,18.159764607747398,False,False,False,False
104,rotated_rect,10.29390758263554,medium,0.35121457489878544,0.5198501872659176,0.02514792899408284,10.035037125675771,1.7875657081604004,546.5025634765625,28.804582595825195,0.3033971412236856,0.4630603797845219,0.15828402366863906,8.786367862693353,1.920415997505188,573.7352498372396,31.117732365926106,-0.04781743367509983,-0.05678980748139567,0.13313609467455623,-1.2486692629824176,0.1328502893447876,27.23268636067712,2.3131497701009103,False,False,False,True
105,rotated_rect,7.233145120934736,small,0.14437086092715232,0.2523148148148148,0.18105263157894738,5.923565162197079,1.7189680337905884,637.4334716796875,24.508207321166992,0.20779010395354247,0.34047292477010926,0.2582456140350877,7.6798235564731625,1.5641761620839436,583.3199869791666,30.426998774210613,0.06341924302639015,0.08815810995529444,0.07719298245614034,1.7562583942760837,-0.15479187170664477,-54.11348470052087,5.918791453043621,False,False,False,False
106,multi_defect,16.61339226724168,large,0.15242165242165243,0.26452410383189123,0.5169569202566453,8.024984165752855,2.33813738822937,650.9967041015625,42.47111129760742,0.26857237017387453,0.4233269695442892,0.23434158264589058,20.506600904264094,1.052572230497996,539.2506306966146,70.84250005086263,0.1161507177522221,0.158802865712398,-0.28261533761075475,12.481616738511239,-1.285565157731374,-111.74607340494788,28.371388753255204,False,False,False,False
107,rotated_rect,15.63882113515784,large,0.38945086705202314,0.5605824232969319,0.12755598831548198,13.643995849173734,1.434645652770996,506.5786437988281,29.41749382019043,0.39025829894043335,0.5605647949064275,0.08860759493670887,14.253102806726133,1.4708473285039265,482.3687032063802,33.047051747639976,0.0008074318884102039,-1.762839050434284e-05,-0.03894839337877311,0.6091069575523989,0.03620167573293043,-24.209940592447936,3.6295579274495466,False,False,False,False
108,rotated_rect,16.963628767834308,large,0.6908517350157729,0.8171641791044776,0.07540394973070018,15.68450415697427,0.29261645674705505,375.3716125488281,26.53948402404785,0.6419087169821609,0.7816024118921424,0.06912028725314183,15.79109787454594,0.28508823613325757,379.2301432291667,30.043087641398113,-0.04894301803361201,-0.03556176721233517,-0.006283662477558349,0.1065937175716698,-0.007528220613797487,3.8585306803385606,3.5036036173502616,False,False,False,False
109,rotated_rect,7.811796730609515,medium,0.3079710144927536,0.4709141274238227,0.5925925925925926,3.182583853211284,0.47387099266052246,606.2093505859375,13.549699783325195,0.4936292454159063,0.6573531250760852,0.31189083820662766,5.37536890039992,0.4166241337855657,492.6225891113281,21.164793014526367,0.1856582309231527,0.18643899765226252,-0.2807017543859649,2.192785047188636,-0.057246858874956785,-113.58676147460938,7.615093231201172,False,False,False,False
110,rotated_rect,11.862357998332968,large,0.15512465373961218,0.2685851318944844,0.3940949935815148,7.1874620991183065,2.2278687953948975,702.220458984375,24.779834747314453,0.19516482842778302,0.3241504415117133,0.2725716730851519,8.629015231992318,2.165496508280436,668.8370361328125,30.23061180114746,0.04004017468817084,0.055565309617228886,-0.12152332049636289,1.4415531328740112,-0.06237228711446141,-33.3834228515625,5.450777053833008,False,False,False,False
111,rotated_rect,5.923565162197079,small,0.19213973799126638,0.32234432234432236,0.10539845758354756,6.547899793688288,1.6550241708755493,594.6246948242188,26.908077239990234,0.1596977689447762,0.2749435434630449,0.09511568123393316,6.202739184408595,1.7466808557510376,602.7193603515625,30.046794255574543,-0.03244196904649019,-0.04740077888127747,-0.0102827763496144,-0.3451606092796924,0.09165668487548828,8.09466552734375,3.1387170155843087,False,False,False,False
112,multi_defect,17.801150834468856,large,0.3023890784982935,0.4643605870020964,0.3678357570573139,11.253251040780569,2.3511345386505127,597.5368041992188,30.957990646362305,0.37043896843642604,0.5401301606910787,0.25178214998574283,13.319138805145789,1.7494600216547649,522.1219278971354,38.46983528137207,0.06804988993813255,0.07576957368898224,-0.11605360707157109,2.06588776436522,-0.6016745169957478,-75.41487630208337,7.511844635009766,False,False,False,False
113,multi_defect,8.055439513630475,medium,0.0,0.0,1.0,0.0,nan,763.8475952148438,24.53238296508789,0.08679087343571507,0.15945466207246312,0.6937618147448016,2.4668831780872154,5.926718076070149,725.8154093424479,33.624478022257485,0.08679087343571507,0.15945466207246312,-0.3062381852551984,2.4668831780872154,nan,-38.03218587239587,9.092095057169594,True,False,True,False
114,multi_defect,14.344468850358993,large,0.4995678478824546,0.6662824207492796,0.15817409766454352,12.075545433476307,1.1562193632125854,502.0414733886719,27.11455535888672,0.4694194854953035,0.6387077261225262,0.1256192498230715,13.46633965322095,1.0873897870381672,463.3722432454427,33.81394386291504,-0.03014836238715113,-0.027574694626753327,-0.03255484784147203,1.3907942197446435,-0.0688295761744182,-38.669230143229186,6.69938850402832,False,False,False,False
