perturbation_name,perturbation_group,severity,affected_axis,split,group_field,group_value,sample_count,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,size_bin,elongated,33,0.0009223555160023159,0.9899775512290724,0.6764144110379302,4.3423445870478945,4.398959027998375,1.8896995331301834,0.2222497072635275
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,size_bin,large_wide,42,0.0008294396629069178,0.8859218790062836,0.8125380369103036,2.9019068550495875,4.618835943795386,1.7504877490656716,0.19805561431816646
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,size_bin,medium_balanced,44,0.0008790422586819411,1.1288342863659968,0.8269371142812026,4.420328040353277,1.2820530311966485,1.8163311562754891,0.1922716892917048
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,size_bin,small_compact,43,0.000854822451338107,1.276082283795573,0.5471561498994473,9.104693157728327,3.3884834993717283,1.7476413260365642,0.18127595425345178
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,curvature_template,LD_dominant,7,0.0008632235944138042,1.2573537092123712,0.6694888836327931,6.319663269179208,3.4341297319957187,1.8497676593916756,0.12214877669300352
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,curvature_template,WD_dominant,8,0.0008448523258266505,1.0290318708866835,0.8328992381361352,3.255577765405178,2.1446275748312473,1.8045809417963028,0.13084896374493837
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,curvature_template,boxy,8,0.0008551880237064324,0.7707823794335127,0.7281984269885915,5.396616876125336,3.8255645371973515,1.7367694526910782,0.1872070264071226
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,curvature_template,round,8,0.000754142503865296,0.9685431122779846,0.7175023173489281,4.7670708149671555,3.1887283474206924,1.502396147698164,0.22315110452473164
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,curvature_template,sharp,8,0.0008802731026662514,1.3569234032183886,0.6445411073580021,5.834377890452743,3.1920078359544277,1.6036904603242874,0.36743128299713135
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,depth_bin,deep,15,0.0003851678571663797,0.16811879326899845,0.7906941565994018,4.217999184131623,3.0496658543745676,0.6617262462774912,0.20380275199810663
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,depth_bin,medium,11,0.0008822512146170167,0.7851024188778617,0.7338486026621112,4.8637865822423585,2.666535759514028,1.7306543805382468,0.2229686758734963
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,depth_bin,shallow,13,0.0013258408916254456,2.357370275717515,0.6260618404468123,6.268857653324421,3.6745733320713043,2.858829058133639,0.2011116725894121
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,aspect_bin,balanced,11,0.0006593999847113578,0.5196647576310418,0.8571141504912436,3.615070467645472,0.9606705795634877,1.2821152752096003,0.2071819088675759
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,aspect_bin,compact,12,0.0009607098036212847,1.8334455012033384,0.5356550948374003,8.667778929074606,3.388474782307943,1.9322769368688266,0.22259425620237985
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,aspect_bin,narrow,6,0.0009511996177025139,0.9472526212533315,0.6565840130560424,4.11605333040158,4.731705983479817,1.854273498058319,0.22031600028276443
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,aspect_bin,wide,10,0.0008229097627918236,0.8402548015117646,0.827593003229407,2.979134738445282,4.32270248234272,1.7711637377738954,0.18521203845739365
