observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
dual_mag_xy_9line,richer_obs_base_009,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,small,compact,compact,0.6367064714431763,13.82967758178711,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_010,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_y,0.44345343112945557,2.1000001430511475,2.1999998092651367,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_mag_xy_9line,richer_obs_base_012,richer_obs_base_011,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_mag_xy_9line,richer_obs_base_013,richer_obs_base_015,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,small,compact,elongated_y,0.49205344915390015,12.191800117492676,0.9999999403953552,False,False,True,True,False
dual_mag_xy_9line,richer_obs_base_014,richer_obs_base_004,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,large,compact,compact,0.6364783048629761,1.8027758598327637,0.0,False,True,True,True,False
dual_mag_xy_9line,richer_obs_base_015,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,small,medium,elongated_y,compact,0.4487558603286743,6.708949089050293,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_016,richer_obs_base_018,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,large,elongated_y,compact,0.591643214225769,1.9999998807907104,0.0,False,True,True,True,False
dual_mag_xy_9line,richer_obs_base_017,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,large,medium,compact,compact,0.907586395740509,12.540334701538086,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_018,richer_obs_base_001,internal_cuboid,internal_cuboid,deep_plus,deep,large,large,compact,compact,0.5494377613067627,22.544401168823242,0.9999999403953552,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_019,richer_obs_base_008,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,medium,large,elongated_y,compact,0.5910734534263611,9.014432907104492,0.0,False,True,True,True,False
dual_mag_xy_9line,richer_obs_base_020,richer_obs_base_006,internal_cuboid,internal_cuboid,shallow,shallow,medium,large,elongated_y,compact,0.5100995302200317,12.042009353637695,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_021,richer_obs_base_011,internal_sphere,internal_sphere,deep,shallow,medium,large,compact,compact,0.45056840777397156,2.299999952316284,2.3999998569488525,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_022,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,elongated_y,elongated_x,0.5590867400169373,13.000384330749512,0.0,True,True,True,False,True
dual_mag_xy_9line,richer_obs_base_023,richer_obs_base_010,internal_cuboid,internal_ellipsoid,medium,medium,small,large,elongated_y,elongated_y,0.5160679221153259,12.001666069030762,0.0,False,True,True,True,False
dual_mag_xy_9line,richer_obs_base_024,richer_obs_base_021,internal_sphere,internal_sphere,deep_plus,deep,large,medium,compact,compact,0.6766940951347351,1.100000023841858,0.9999999403953552,True,False,False,False,False
dual_mag_xy_9line,richer_obs_base_025,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,medium,large,elongated_x,elongated_y,0.578025758266449,2.8999998569488525,2.1999998092651367,True,False,True,False,True
dual_mag_xy_9line,richer_obs_base_026,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,medium,large,elongated_y,elongated_y,0.44345343112945557,2.1000001430511475,2.1999998092651367,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_027,richer_obs_base_018,internal_cuboid,internal_cuboid,deep,deep_plus,medium,large,compact,compact,0.5952082276344299,6.099999904632568,0.9999999403953552,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_028,richer_obs_base_022,internal_cuboid,internal_cuboid,shallow,shallow,medium,large,elongated_x,elongated_y,0.5590867400169373,13.000384330749512,0.0,True,True,True,False,True
dual_mag_xy_9line,richer_obs_base_029,richer_obs_base_021,internal_sphere,internal_sphere,deep_plus,deep,small,medium,compact,compact,0.5817168354988098,6.067124843597412,0.9999999403953552,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_030,richer_obs_base_027,internal_cuboid,internal_cuboid,deep,deep,medium,medium,elongated_y,compact,0.6974744200706482,6.0,0.0,True,True,True,False,False
