model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,hardcase_target_id,target_05_compact_medium_large,2,0.0345732606947422,0.0311313197016716,0.028384849429130554,0.0011336524039506912,0.04815266653895378,0.33746427297592163,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,val,all,shape_type,internal_cuboid,22,0.3948647677898407,1.0450828075408936,0.8070708513259888,0.08033996820449829,0.40552178025245667,1.4623414278030396,0.5909090909090909,0.24761904761904763,1,1
H2_B2_hardcase_tail_weighted,True,val,all,shape_type,internal_ellipsoid,23,0.2908768653869629,0.7198442816734314,0.6151058673858643,0.07075010240077972,0.3968484401702881,0.8441429734230042,0.8695652173913043,0.31007751937984496,1,0
H2_B2_hardcase_tail_weighted,True,val,all,shape_type,internal_sphere,15,0.2665821313858032,0.44564884901046753,0.583407998085022,0.04826992005109787,0.505340039730072,1.0950829982757568,0.8666666666666667,0.30952380952380953,2,2
H2_B2_hardcase_tail_weighted,True,val,all,burial_depth_level,deep,13,0.2537876069545746,0.6287750005722046,0.4855165481567383,0.07629428803920746,0.30681705474853516,0.8417199850082397,0.9230769230769231,0.903030303030303,0,0
H2_B2_hardcase_tail_weighted,True,val,all,burial_depth_level,deep_plus,13,0.21705195307731628,0.37790119647979736,0.3971105217933655,0.048103589564561844,0.22834458947181702,0.8907017111778259,0.9230769230769231,0.9111111111111111,0,0
H2_B2_hardcase_tail_weighted,True,val,all,burial_depth_level,medium,13,0.33237072825431824,1.1695469617843628,0.6400759220123291,0.08896765857934952,0.27028268575668335,1.195986270904541,0.6923076923076923,0.709090909090909,0,0
H2_B2_hardcase_tail_weighted,True,val,all,burial_depth_level,shallow,21,0.4254375696182251,0.8543844819068909,0.9932844042778015,0.06404897570610046,0.7218246459960938,1.4258923530578613,0.6190476190476191,0.6383040935672515,4,3
H2_B2_hardcase_tail_weighted,True,val,all,size_level,large,25,0.41229042410850525,1.009371042251587,0.9696940779685974,0.10021379590034485,0.41861310601234436,1.3613351583480835,0.76,0.6838856400259908,1,1
H2_B2_hardcase_tail_weighted,True,val,all,size_level,medium,22,0.27463316917419434,0.632746696472168,0.5020869374275208,0.03302622213959694,0.522602915763855,1.0261454582214355,0.7727272727272727,0.7037037037037037,2,1
H2_B2_hardcase_tail_weighted,True,val,all,size_level,small,13,0.23282568156719208,0.5444824695587158,0.41275766491889954,0.06821992248296738,0.2820385992527008,0.877266526222229,0.7692307692307693,0.3333333333333333,1,1
H2_B2_hardcase_tail_weighted,True,val,all,aspect_bin,compact,39,0.3546225428581238,0.7157613039016724,0.7503020167350769,0.07900179922580719,0.4724871516227722,1.2842313051223755,0.7692307692307693,0.7578853670807694,2,2
H2_B2_hardcase_tail_weighted,True,val,all,aspect_bin,elongated_x,15,0.2171207070350647,0.8691590428352356,0.5076772570610046,0.04141784831881523,0.2269207239151001,0.6883095502853394,0.8,0.5079365079365079,1,0
H2_B2_hardcase_tail_weighted,True,val,all,aspect_bin,elongated_y,6,0.38147222995758057,0.8801497220993042,0.629528820514679,0.06940706819295883,0.6330474019050598,1.2672309875488281,0.6666666666666666,0.4166666666666667,1,1
H2_B2_hardcase_tail_weighted,True,val,all,row_origin,hardcase_topup_v1,20,0.49576306343078613,1.0506106615066528,1.2109121084213257,0.0828033834695816,0.8157115578651428,1.6917309761047363,0.55,0.39571150097465885,3,2
H2_B2_hardcase_tail_weighted,True,val,all,row_origin,source_v2_240,40,0.2365165501832962,0.6305190324783325,0.41089680790901184,0.061567820608615875,0.23287157714366913,0.8544605374336243,0.875,0.8701298701298702,1,1
H2_B2_hardcase_tail_weighted,True,val,all,hardcase_target_id,,40,0.2365165501832962,0.6305190324783325,0.41089680790901184,0.061567820608615875,0.23287157714366913,0.8544605374336243,0.875,0.8701298701298702,1,1
H2_B2_hardcase_tail_weighted,True,val,all,hardcase_target_id,target_05_compact_medium_large,12,0.36425986886024475,0.8168571591377258,0.7925351858139038,0.08095550537109375,0.451643168926239,1.3845643997192383,0.75,0.5202020202020202,0,0
H2_B2_hardcase_tail_weighted,True,val,all,hardcase_target_id,target_06_shallow_edge,8,0.6930178999900818,1.4012409448623657,1.8384777307510376,0.08557518571615219,1.361814260482788,2.1524808406829834,0.25,0.1904761904761905,3,2
H2_B2_hardcase_tail_weighted,True,val,source_v2,shape_type,internal_cuboid,13,0.39863795042037964,1.12465500831604,0.6727915406227112,0.09334168583154678,0.41571518778800964,1.3888609409332275,0.6153846153846154,0.253968253968254,1,1
H2_B2_hardcase_tail_weighted,True,val,source_v2,shape_type,internal_ellipsoid,14,0.18757735192775726,0.5840588808059692,0.3720342814922333,0.04727952182292938,0.1828242987394333,0.6201720833778381,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,shape_type,internal_sphere,13,0.12709884345531464,0.1864171028137207,0.19085381925106049,0.045181360095739365,0.10392499715089798,0.5723708271980286,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,burial_depth_level,deep,10,0.20954106748104095,0.529330313205719,0.27634891867637634,0.05668685957789421,0.2877391576766968,0.7676792144775391,0.9,0.8666666666666667,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,burial_depth_level,deep_plus,10,0.1703461855649948,0.281761109828949,0.3171607553958893,0.03980977088212967,0.13000033795833588,0.8280848860740662,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,burial_depth_level,medium,10,0.3322390019893646,1.2545289993286133,0.5769915580749512,0.10292304307222366,0.25240394473075867,0.9343281984329224,0.7,0.7090909090909091,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,burial_depth_level,shallow,10,0.23393993079662323,0.456455796957016,0.47308579087257385,0.04685162752866745,0.26134273409843445,0.887749969959259,0.9,0.9047619047619048,1,1
H2_B2_hardcase_tail_weighted,True,val,source_v2,size_level,large,13,0.37116363644599915,1.11440908908844,0.7557517886161804,0.09641733765602112,0.24945206940174103,1.2419631481170654,0.9230769230769231,0.9327731092436974,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,size_level,medium,14,0.11491429060697556,0.2610836923122406,0.08894627541303635,0.023030608892440796,0.1718202531337738,0.47345995903015137,0.9285714285714286,0.6521739130434783,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,size_level,small,13,0.23282568156719208,0.5444824695587158,0.41275766491889954,0.06821992248296738,0.2820385992527008,0.877266526222229,0.7692307692307693,0.3333333333333333,1,1
