model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y,source_true_area_pixels
CURRENT_BASELINE,66,863,medium,rotated_rect,14076.521484375,35.143829345703125,0.532319391634981,0.6947890818858561,0.3617886178861789,0.7028290629386902,7.1722344251794965,11.238023366841759,False,True,False,-6.209550857543945,5.142936706542969,-6.04465389251709,5.82614803314209,738
CURRENT_BASELINE,67,816,large,multi_defect,31878.771484375,74.18863677978516,0.3818537859007833,0.5526688710439301,0.24606462303231152,0.3749205470085144,13.857183284317074,18.379802444143635,False,True,False,-0.5925782322883606,4.892219066619873,-0.25136032700538635,5.047575950622559,1207
CURRENT_BASELINE,68,928,large,multi_defect,48853.0546875,96.0498275756836,0.36407532592950265,0.5338053097345132,0.16319895968790638,0.8529582023620605,19.598016359248433,23.420162517889736,False,True,False,0.43709224462509155,5.0179338455200195,-0.34453821182250977,4.676478862762451,1538
CURRENT_BASELINE,69,984,large,multi_defect,19927.806640625,48.204185485839844,0.7064873417721519,0.8280018544274456,0.10955302366345311,0.6302353739738464,15.47131672183093,17.374775964182177,False,True,False,-5.339147090911865,5.021574020385742,-5.229147434234619,5.6421356201171875,1141
CURRENT_BASELINE,70,286,large,rotated_rect,19973.677734375,42.0892333984375,0.4318407960199005,0.6031966643502432,0.34977064220183485,1.0528758764266968,8.634091123305254,13.278531674642295,False,True,False,-7.4482197761535645,5.226337432861328,-7.573129177093506,6.271777629852295,872
CURRENT_BASELINE,71,385,large,multi_defect,43606.84765625,88.69222259521484,0.46996466431095407,0.6394230769230769,0.2573309395571514,2.14599871635437,18.897543358063174,25.445443151751462,False,True,False,-3.341789722442627,4.955437183380127,-1.19994056224823,5.088829040527344,1671
CURRENT_BASELINE,72,559,large,multi_defect,35372.3203125,75.0513687133789,0.5696658097686376,0.7258434326891582,0.37173333333333336,1.0413367748260498,17.938199899918146,28.551888635268696,False,True,False,-3.6888604164123535,4.826362133026123,-2.6482410430908203,4.787716865539551,1875
CURRENT_BASELINE,73,51,large,rotated_rect,17863.677734375,41.38524627685547,0.5466434176111595,0.7068771138669673,0.3843351548269581,0.48393914103507996,10.29390758263554,16.71998598481335,False,True,False,0.1850970834493637,4.829956531524658,0.0793585404753685,5.3022027015686035,1098
CURRENT_BASELINE,74,937,large,multi_defect,45543.25,91.05863189697266,0.45977011494252873,0.6299212598425197,0.2487231869254341,0.8595664501190186,22.399908363989468,29.815785572189924,False,True,False,-1.5150703191757202,5.049475193023682,-0.8352280259132385,5.57546854019165,1958
CURRENT_BASELINE,75,278,large,multi_defect,17575.0625,46.2639274597168,0.5477099236641222,0.7077681874229347,0.07363420427553444,0.7534164786338806,11.877585672271778,12.821701456477996,False,True,False,3.5543100833892822,5.106319427490234,3.7962377071380615,5.8198370933532715,842
CURRENT_BASELINE,76,83,large,multi_defect,27951.80078125,60.57709884643555,0.4096153846153846,0.5811732605729877,0.3416289592760181,4.990445613861084,8.862506232387403,13.461263761908015,False,True,False,6.7090606689453125,5.082613468170166,1.7193431854248047,4.997371673583984,884
CURRENT_BASELINE,77,569,large,multi_defect,27927.75,56.56193161010742,0.36936936936936937,0.5394736842105263,0.28410159924741296,1.3232234716415405,11.588259867434388,16.187017396955,False,True,False,3.5038859844207764,5.108111381530762,3.821246385574341,6.39271354675293,1063
CURRENT_BASELINE,78,505,large,multi_defect,25489.025390625,54.44252014160156,0.31573802541544477,0.4799405646359584,0.447520184544406,3.265796184539795,7.294055816689976,13.202393304948245,False,True,False,5.07794713973999,5.2742462158203125,1.8472118377685547,4.796989917755127,867
CURRENT_BASELINE,79,410,large,multi_defect,37362.47265625,77.06376647949219,0.4107538802660754,0.5823182711198428,0.42901234567901236,1.4687334299087524,14.085598393399223,24.668831780872154,False,True,False,5.672497749328613,5.165710926055908,4.317234039306641,4.59963846206665,1620
CURRENT_BASELINE,80,338,large,multi_defect,45305.38671875,78.27494812011719,0.3296988577362409,0.49590003904724717,0.5636567582725743,2.3671579360961914,11.847130324394158,27.15094263289818,False,True,False,-5.722054958343506,4.988444805145264,-3.3583085536956787,4.861401557922363,1783
CURRENT_BASELINE,81,420,large,multi_defect,42236.0234375,87.55438232421875,0.3050351288056206,0.46747420367877973,0.3315868263473054,1.5519154071807861,13.598312827357304,20.34417238225012,False,True,False,3.648899555206299,5.049826622009277,2.9226596355438232,3.6783249378204346,1336
CURRENT_BASELINE,82,409,large,rotated_rect,13629.283203125,38.799503326416016,0.6549364613880743,0.7914943886591849,0.04503464203233257,0.6046686768531799,12.593286347395846,13.187165631009435,False,True,False,0.36084291338920593,4.845919609069824,0.26756182312965393,4.2484893798828125,866
CURRENT_BASELINE,83,417,large,multi_defect,39563.06640625,77.4052734375,0.45106805762543467,0.6217048955837042,0.338452787258248,0.31725725531578064,17.709784790835997,26.77025078442793,False,True,False,4.6123785972595215,5.0884599685668945,4.9208502769470215,5.162604331970215,1758
CURRENT_BASELINE,84,674,large,multi_defect,28525.18359375,68.3658676147461,0.33854645814167433,0.5058419243986254,0.3256616800920598,1.2336983680725098,8.923416928142643,13.232848652825865,False,True,False,-0.061999402940273285,4.854173183441162,1.1712476015090942,4.887540340423584,869
CURRENT_BASELINE,85,221,large,multi_defect,40791.3203125,79.07215118408203,0.2554517133956386,0.40694789081885857,0.6311141304347826,1.141594409942627,8.268626948773814,22.415136037928278,False,True,False,-1.3680280447006226,4.829510688781738,-2.502901792526245,4.953200817108154,1472
CURRENT_BASELINE,86,145,large,multi_defect,22157.78515625,53.916786193847656,0.16987542468856173,0.2904162633107454,0.8301245753114382,0.8232642412185669,2.2841510908214957,13.446036087969205,False,True,False,1.7407035827636719,4.696969985961914,2.182173728942871,5.391857147216797,883
CURRENT_BASELINE,87,281,large,multi_defect,41912.71484375,81.70694732666016,0.4046753246753247,0.5761834319526628,0.29292929292929293,0.6344637870788574,17.054994811467168,24.120635519074995,False,True,False,-0.4768933355808258,5.038149356842041,-0.6032053828239441,4.416386127471924,1584
CURRENT_BASELINE,88,231,large,multi_defect,25544.7421875,57.749000549316406,0.09976525821596244,0.1814300960512273,0.8474784747847478,2.1892964839935303,1.8882315684124364,12.380098912252507,False,True,False,1.0127248764038086,4.626913547515869,-1.0831835269927979,3.994309663772583,813
CURRENT_BASELINE,89,694,large,rotated_rect,14594.8623046875,39.86918258666992,0.667005076142132,0.8002436053593179,0.232508073196986,0.2893078625202179,10.85733151837151,14.146509089154463,False,True,False,5.1162190437316895,5.143723487854004,4.944935321807861,4.910569190979004,929
CURRENT_BASELINE,90,797,large,rotated_rect,14025.5419921875,39.809513092041016,0.6490566037735849,0.7871853546910755,0.04692737430167598,0.6321349143981934,12.989205869804906,13.628768175234924,False,True,False,4.063724040985107,5.140028476715088,4.174868583679199,5.76231575012207,895
CURRENT_BASELINE,91,834,large,multi_defect,35219.75,78.7102279663086,0.4646878198567042,0.6345213137665968,0.40468227424749165,0.30986854434013367,16.26315576664905,27.31844704622509,False,True,False,0.5030772089958191,4.921689033508301,0.31688541173934937,4.673997402191162,1794
CURRENT_BASELINE,92,901,large,rotated_rect,15240.4560546875,38.258644104003906,0.6160377358490566,0.762405137186223,0.34492753623188405,0.46062400937080383,10.32436293051316,15.76064252666832,False,True,False,4.204874038696289,5.152707576751709,4.329837322235107,5.596056938171387,1035
