model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,2026,False,val,CURVATURE_MEAN,18,0.9879235625267029,0.22258254885673523,,,
conv1d_rbc_param_gate,2026,False,test,L_m,18,0.42929673194885254,0.002706166822463274,2.7061667442321777,0.13727323710918427,0.7236125050477944
conv1d_rbc_param_gate,2026,False,test,W_m,18,0.6121199131011963,0.0027795895002782345,2.7795894145965576,0.24287006258964539,0.4360370430435455
conv1d_rbc_param_gate,2026,False,test,D_m,18,0.7549088597297668,0.0011615011608228087,1.161501169204712,0.47994041442871094,0.29750696031388124
conv1d_rbc_param_gate,2026,False,test,wLD,18,0.9609700441360474,0.23110225796699524,,,-0.23628367770217573
conv1d_rbc_param_gate,2026,False,test,wWD,18,0.9833911061286926,0.2171344757080078,,,-0.28551809224216695
conv1d_rbc_param_gate,2026,False,test,wLW,18,0.8187240958213806,0.17510253190994263,,,-0.20908784037869377
conv1d_rbc_param_gate,2026,False,test,ALL,18,0.7599018216133118,0.10499776154756546,,,
conv1d_rbc_param_gate,2026,False,test,DIMENSION_MEAN,18,0.5987752079963684,0.0022157523781061172,2.215752363204956,,
conv1d_rbc_param_gate,2026,False,test,CURVATURE_MEAN,18,0.9210284352302551,0.20777978003025055,,,
