sample_id,split,shape_type,topology_type,representation_target,diagnosis,target_role,suitable_for_six_param_refinement,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,exclude_reason,failure_reason,oracle_profile_depth_rmse_m,oracle_projected_mask_Dice,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_minus_oracle_rmse_m,true_component_count,pred_component_count,component_recall_proxy,merge_component_proxy
surf_shape_044_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00012006008458805409,0.90848026868178,0.0004162539672452402,0.7366310160427807,0.0002961938826571861,1,1,1.0,False
surf_shape_045_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00011436935759421481,0.9106382978723404,0.000353763682425413,0.4954954954954955,0.00023939432483119819,1,1,1.0,False
surf_shape_046_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00012830843930873774,0.91875,0.00023057969025119324,0.6771653543307087,0.0001022712509424555,1,1,1.0,False
surf_shape_047_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00021113086825279086,0.9133192389006343,0.00043140673289178704,0.5903614457831325,0.00022027586463899617,1,1,1.0,False
surf_shape_048_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00023889256714096748,0.9193825042881647,0.00033823890698597643,0.7235718975705844,9.934633984500895e-05,1,1,1.0,False
surf_shape_049_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,5.100715779155618e-05,0.9121338912133892,0.00038475987829645383,0.49496080627099664,0.00033375272050489765,1,1,1.0,False
surf_shape_050_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,5.8140642233095266e-05,0.9230769230769231,0.000361708057690303,0.5915768854064642,0.00030356741545720773,1,1,1.0,False
surf_shape_051_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00010903898820019483,0.915948275862069,0.00036950288170815203,0.6871069182389937,0.0002604638935079572,1,1,1.0,False
surf_shape_052_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00011342106790848217,0.9206896551724137,0.0003475051983696192,0.827639751552795,0.00023408413046113703,1,1,1.0,False
surf_shape_053_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00010562940262126643,0.9191489361702128,0.00026812982636753856,0.5475,0.0001625004237462721,1,1,1.0,False
surf_shape_054_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00012746368559157624,0.9295302013422819,0.0004235215689414424,0.5034843205574913,0.0002960578833498662,1,1,1.0,False
surf_shape_055_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00021442498321898993,0.9075451647183846,0.0003136099082393107,0.7284878863826232,9.918492502032078e-05,1,1,1.0,False
surf_shape_056_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00022986899643422543,0.9218884120171674,0.000455077449054399,0.8614298323036187,0.00022520845262017356,1,1,1.0,False
surf_shape_057_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,3.2010818629399295e-05,0.9746192893401016,0.00040873484645149983,0.43097643097643096,0.0003767240278221005,1,1,1.0,False
surf_shape_058_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,3.508781514438925e-05,0.9720670391061452,0.0007723305218956341,0.39555555555555555,0.0007372427067512449,1,1,1.0,False
surf_shape_059_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,5.865089239217509e-05,0.9678249678249679,0.0007070296726180187,0.6209677419354839,0.0006483787802258436,1,1,1.0,False
surf_shape_060_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,6.35779239237584e-05,0.9735772357723578,0.0002503207741747906,0.9156355455568054,0.00018674285025103217,1,1,1.0,False
surf_shape_061_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,7.009132676275626e-05,0.9790575916230366,0.0006649869144735027,0.2923076923076923,0.0005948955877107464,1,1,1.0,False
surf_shape_062_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,7.697357675417455e-05,0.9625468164794008,0.0005653171811757003,0.3925925925925926,0.0004883436044215258,1,1,1.0,False
surf_shape_063_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00011905125955241824,0.9704749679075738,0.00018158806306345593,0.7296786389413988,6.25368035110377e-05,1,1,1.0,False
surf_shape_064_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00012891391930111286,0.9730848861283644,0.00014189393297362113,0.8288907996560619,1.2980013672508276e-05,1,1,1.0,False
surf_shape_065_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,3.300505034414821e-05,0.9711286089238845,0.0008301252821214449,0.2714285714285714,0.0007971202317772967,1,1,1.0,False
surf_shape_066_asymmetric_corrosion,train,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,3.362625082963041e-05,0.9794392523364486,0.0007943569189379473,0.43413421706710853,0.0007607306681083169,1,1,1.0,False
surf_shape_067_asymmetric_corrosion,val,asymmetric_corrosion,single_component,profile_basis,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,6.045258571361824e-05,0.9688311688311688,0.00023754015348983454,0.952638700947226,0.0001770875677762163,1,1,1.0,False
surf_shape_068_asymmetric_corrosion,val,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,6.425781282168816e-05,0.9751552795031055,0.0005226173257371469,0.5402363534046145,0.0004583595129154587,1,1,1.0,False
surf_shape_069_asymmetric_corrosion,val,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,6.902534779758523e-05,0.9794871794871794,0.0005208990075981856,0.31183673469387757,0.0004518736598006003,1,1,1.0,False
surf_shape_070_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,7.565640394356924e-05,0.9793621013133208,0.00034410282127429254,0.522,0.0002684464173307233,1,1,1.0,False
surf_shape_071_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.0001196662491139373,0.9710526315789474,0.0002686726140861521,0.6540447504302926,0.0001490063649722148,1,1,1.0,False
surf_shape_072_asymmetric_corrosion,test,asymmetric_corrosion,single_component,profile_basis,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.0001288756612118747,0.973305954825462,0.00046548707971253166,0.6531440162271805,0.000336611418500657,1,1,1.0,False
surf_shape_073_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,4.551822443269681e-05,0.9138381201044387,0.000709653200101005,0.34824902723735407,0.0006641349756683081,1,1,1.0,False
surf_shape_074_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,5.4773895032590806e-05,0.9278350515463918,0.0006562037110209977,0.4900523560209424,0.0006014298159884068,1,1,1.0,False
surf_shape_075_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,8.964449516752486e-05,0.9175412293853074,0.0005940609482808195,0.5087572977481234,0.0005044164531132947,1,1,1.0,False
surf_shape_076_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,8.486833631267224e-05,0.9264214046822743,0.0004503186594865172,0.4367588932806324,0.00036545032317384496,1,1,1.0,False
surf_shape_077_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00010418351393324839,0.9253731343283582,0.00035271868634105465,0.46943765281173594,0.00024853517240780627,1,1,1.0,False
surf_shape_078_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00012683441708348883,0.9261992619926199,0.0003507134442320541,0.562429696287964,0.00022387902714856526,1,1,1.0,False
surf_shape_079_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.0001622184790698734,0.9193245778611632,0.0004752822346749575,0.4624017957351291,0.0003130637556050841,1,1,1.0,False
surf_shape_080_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.000179293893481105,0.912850812407681,0.0004993753186533155,0.48757396449704143,0.00032008142517221043,1,1,1.0,False
surf_shape_081_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,4.9149575166560396e-05,0.9178947368421052,0.0006455536880947225,0.4121996303142329,0.0005964041129281621,1,1,1.0,False
surf_shape_082_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,4.925372069169456e-05,0.9126637554585153,0.0005942926987598905,0.4353182751540041,0.000545038978068196,1,1,1.0,False
surf_shape_083_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,9.162499635709624e-05,0.9228130360205832,0.0004033049781607859,0.5016216216216216,0.00031167998180368965,1,1,1.0,False
surf_shape_084_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,8.774897266628833e-05,0.9196675900277008,0.0004302088852567396,0.5037735849056604,0.00034245991259045127,1,1,1.0,False
surf_shape_085_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,9.943156937374501e-05,0.9329758713136729,0.0003888263896581517,0.43393939393939396,0.0002893948202844067,1,1,1.0,False
surf_shape_086_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,elongated,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00011708935720932167,0.9205702647657841,0.00040491627495931363,0.5071982281284607,0.000287826917749992,1,1,1.0,False
