split,sample_pos,sample_index,csv_sample_index,source_sample_id,source_global_index,hard_case_type,signal_mean,signal_std,signal_min,signal_max,signal_range,signal_peak_abs,std_floor_triggered,zscore_input_norm_after_runner_floor,signal_energy_center_x,defect_center_x,defect_center_y,bbox_center_x,bbox_center_y,bbox_center_x_error_cells,bbox_center_y_error_cells,bbox_axis_x_error_cells,bbox_axis_y_error_cells,mask_area
val,4,4,4,v3_val_004,34,both_bins_wrong_like,-4.143707588809775e-05,2.739024790687101e-09,-4.144548802287318e-05,-4.143374826526269e-05,1.1739757610484958e-08,4.144548802287318e-05,True,6.709213130016894e-08,-0.01056513772664058,-0.0146108319374222,-0.0024747474747333,-0.01447236118838191,-0.0024242427316494286,0.3444459959366888,0.249998483853066,1.0411115092388807,1.1179995935540554,288.0
val,5,5,5,v3_val_005,35,bins_correct_center_or_offset_bad,-4.143609237871715e-05,7.264027326420984e-10,-4.14372407249175e-05,-4.143466139794327e-05,2.5793269742280245e-09,4.14372407249175e-05,True,1.7793160427364912e-08,-0.004448243590433135,0.0092685650474666,-0.0046,0.009246232686564326,-0.0045454546343535185,0.05555174898608306,0.2699995659850437,0.6388903506772835,1.2799984649192622,140.0
val,6,6,6,v3_val_006,36,bins_correct_center_or_offset_bad,-4.1436923753887335e-05,4.631334469834741e-10,-4.143758997088298e-05,-4.143612022744492e-05,1.469743438065052e-09,4.143758997088298e-05,True,1.1344406279258366e-08,0.0008516343461082026,-0.0261083193746488,-0.0037333333333333,-0.025929647497832775,-0.0037373737432062626,0.44444630351400954,0.02000002931820079,0.9955558134324645,0.290000747814461,115.0
val,7,7,7,v3_val_007,37,geometry_or_type_interaction,-4.143895564387397e-05,2.729914794565171e-09,-4.144536069361493e-05,-4.1436884202994406e-05,8.476490620523691e-09,4.144536069361493e-05,True,6.686898287959434e-08,-0.002775941025137225,-0.0106488888888888,0.0007533333333333,-0.010653265984728932,0.0008080806292127818,0.010888026145696087,0.2709991206607372,1.900001393584566,0.9600014418410462,76.0
val,8,8,8,v3_val_008,38,geometry_or_type_interaction,-4.143920020699928e-05,3.161990306844735e-09,-4.144703416386619e-05,-4.1436884202994406e-05,1.0149960871785879e-08,4.144703416386619e-05,True,7.745262823396012e-08,-0.0021461571856704028,-0.0075733333333333,0.0017466666666666,-0.0074371855007484555,0.0018181815394200385,0.33866774112461456,0.35399862804200644,1.2266582207953343,1.2900011610888626,84.0
val,9,9,9,v3_val_009,39,rare_y_bin_wrong,-4.144023379315816e-05,6.023544082443851e-09,-4.145345519646071e-05,-4.14352398365736e-05,1.8215359887108207e-08,4.145345519646071e-05,True,1.4754609445148522e-07,0.0022819806423112197,0.0055111111111111,-0.0008484848484666,0.005628140177577734,-0.0008080810657702386,0.2911098093425626,0.19999872881730857,0.8200003931857723,0.9400003714207638,216.0
test,0,0,0,v3_test_000,40,x_bin_wrong_like,-4.143934127569082e-05,4.6949642838692834e-09,-4.145073762629181e-05,-4.143549085711129e-05,1.524676918052137e-08,4.145073762629181e-05,True,1.1500266856071179e-07,0.0022720903544483297,0.0046776102736,-0.0012666666666666,0.004623116285074502,-0.0012121211912017316,0.1355537994870389,0.2700001095860716,1.6088860821627327,0.9199998772563389,264.0
test,1,1,1,v3_test_001,41,x_bin_wrong_like,-4.1440826607868074e-05,6.10943140744077e-09,-4.1455259633949026e-05,-4.14362148148939e-05,1.9044819055125117e-08,4.1455259633949026e-05,True,1.496498956676356e-07,0.006820762794309244,0.0270293690675555,-0.0006333333333333,0.027135679498314857,-0.0006060608029656578,0.26444720242475633,0.13499902833729244,1.3777642727308552,1.5799997839603508,280.0
test,2,2,2,v3_test_002,42,x_bin_wrong_like,-4.144152990193106e-05,7.419892317004549e-09,-4.145734419580549e-05,-4.143521800870076e-05,2.2126187104731798e-08,4.145734419580549e-05,True,1.817495012305835e-07,-0.00176565315408164,-0.0081867113344,0.0,-0.00824120664037764,0.0,0.135557076649318,0.0,1.1466682361966147,0.26000418442277756,296.0
test,3,3,3,v3_test_003,43,both_bins_wrong_like,-4.1438624563549335e-05,2.5379240882512183e-09,-4.144561171415262e-05,-4.143566911807284e-05,9.942596079781651e-09,4.144561171415262e-05,True,6.216619022133708e-08,0.004401090775103693,0.0143338916807111,0.0056060606060666,0.014472363283857703,0.0055555549915879965,0.344448120526191,0.25000279725708574,1.0411126675713587,0.711999193556589,324.0
