sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
138,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,278906.0,521.470703125
139,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,281559.0,521.24609375
140,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,251953.4375,486.921875
141,per_sample_zscore,concat,mlp,none,direct,1.0,18,18,265917.5625,508.5071105957031
142,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,248604.546875,481.6668701171875
143,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,205678.640625,441.7214660644531
144,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,286932.78125,524.0670776367188
145,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,209757.5,448.1106262207031
146,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,264043.90625,502.8927307128906
147,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,207161.4375,440.44036865234375
148,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,365844.21875,599.5308837890625
149,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,272624.5,509.3486633300781
150,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,268649.625,509.81341552734375
151,per_sample_zscore,concat,mlp,none,direct,0.8333333333333334,5,6,189265.234375,429.9186706542969
152,per_sample_zscore,concat,mlp,none,direct,0.9,9,10,233347.671875,471.8899230957031
153,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,248915.921875,486.6116638183594
154,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,191874.4375,423.457763671875
155,per_sample_zscore,concat,mlp,none,direct,0.75,3,4,257211.3125,498.0974426269531
156,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,216698.6875,453.37200927734375
157,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,220805.359375,456.4300537109375
158,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,289688.71875,533.8616943359375
159,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,244224.640625,486.4693603515625
160,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,240400.15625,470.1848449707031
161,per_sample_zscore,concat,mlp,none,direct,1.0,2,2,191487.75,425.1412658691406
162,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,240239.796875,471.6224365234375
163,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,235196.671875,479.3887634277344
164,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,194583.71875,430.8927917480469
165,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,264378.90625,506.27459716796875
166,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,202727.640625,438.18487548828125
167,per_sample_zscore,concat,mlp,none,direct,1.0,17,17,223096.921875,460.7805480957031
168,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,241777.390625,473.66705322265625
169,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,298210.625,523.5859985351562
170,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,237816.9375,474.6327209472656
171,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,292677.5625,523.6312866210938
172,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,244340.640625,484.87109375
173,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,245296.390625,482.4891662597656
174,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,269220.34375,506.01568603515625
175,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,278753.0625,506.154296875
