split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
train,20,7,1,1,1.0,1.0,1.0,0.002380780875682831,0.002380780875682831,0.002380780875682831,0.03294997534404528,0.03294997534404528,0.03294997534404528,0.011106103658676147,0.011106103658676147,0.011106103658676147,7.15086207492277e-06,7.15086207492277e-06,7.15086207492277e-06,1.0,1.0,1.0,0.0
val,5,4,1,1,0.0,0.0,0.0,0.2639029324054718,0.2639029324054718,0.2639029324054718,23.657052292446316,23.657052292446316,23.657052292446316,1.4829668998718262,1.4829668998718262,1.4829668998718262,0.0032652881927788258,0.0032652881927788258,0.0032652881927788258,0.0,0.0,0.0,1.0
val,8,5,1,1,0.0,0.0,0.0,0.35468789935112,0.35468789935112,0.35468789935112,20.472801758950357,20.472801758950357,20.472801758950357,1.31869176030159,1.31869176030159,1.31869176030159,0.003175671212375164,0.003175671212375164,0.003175671212375164,0.0,0.0,0.0,1.0
val,10,4,1,1,0.0,0.0,0.0,0.11861895769834518,0.11861895769834518,0.11861895769834518,6.269797698659477,6.269797698659477,6.269797698659477,0.9177088141441345,0.9177088141441345,0.9177088141441345,0.0009475061669945717,0.0009475061669945717,0.0009475061669945717,1.0,0.0,0.0,1.0
val,12,5,1,1,0.0,0.0,0.0,0.23136882483959198,0.23136882483959198,0.23136882483959198,28.546388072468186,28.546388072468186,28.546388072468186,8.135985884815454,8.135985884815454,8.135985884815454,0.005506540182977915,0.005506540182977915,0.005506540182977915,0.0,0.0,0.0,1.0
val,13,4,2,2,0.0,0.0,0.0,0.19498850405216217,0.014206528663635254,0.3757704794406891,30.58128934917452,29.126570721820105,32.036007976528936,3.170260101556778,0.17650526762008667,6.164014935493469,0.004794580629095435,0.0032943920232355595,0.006294769234955311,0.5,0.0,0.0,1.0
val,13,6,1,1,0.0,0.0,0.0,0.33458518981933594,0.33458518981933594,0.33458518981933594,12.050173476097347,12.050173476097347,12.050173476097347,8.054928556084633,8.054928556084633,8.054928556084633,0.0038659023120999336,0.0038659023120999336,0.0038659023120999336,1.0,0.0,0.0,1.0
val,14,5,1,1,0.0,0.0,0.0,0.20546674728393555,0.20546674728393555,0.20546674728393555,9.042712808856109,9.042712808856109,9.042712808856109,3.5027818651869893,3.5027818651869893,3.5027818651869893,0.002033049939200282,0.002033049939200282,0.002033049939200282,0.0,1.0,0.0,1.0
val,15,5,2,2,0.05042016806722689,0.0,0.10084033613445378,0.20443354547023773,0.19929563999176025,0.2095714509487152,35.304653935481475,7.593936292587121,63.01537157837583,3.860931470990181,1.5101617723703384,6.2117011696100235,0.00810949644073844,0.0023634592071175575,0.013855533674359322,0.0,0.5,0.0,0.5
val,16,6,1,1,0.0,0.0,0.0,0.21486586332321167,0.21486586332321167,0.21486586332321167,8.979307623760812,8.979307623760812,8.979307623760812,1.7704138606786728,1.7704138606786728,1.7704138606786728,0.0018082542810589075,0.0018082542810589075,0.0018082542810589075,0.0,0.0,0.0,1.0
val,18,5,1,1,0.2716049382716049,0.2716049382716049,0.2716049382716049,0.24279536306858063,0.24279536306858063,0.24279536306858063,11.370039974137518,11.370039974137518,11.370039974137518,7.754259869456291,7.754259869456291,7.754259869456291,0.0036868113093078136,0.0036868113093078136,0.0036868113093078136,0.0,1.0,0.0,0.0
val,19,3,1,1,0.0,0.0,0.0,0.3350684642791748,0.3350684642791748,0.3350684642791748,30.52548019558419,30.52548019558419,30.52548019558419,0.7731305509805679,0.7731305509805679,0.7731305509805679,0.003942275885492563,0.003942275885492563,0.003942275885492563,0.0,0.0,0.0,1.0
