sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
647,per_sample_zscore,film,1.0,16,16,895.69482421875,11.370532989501953
648,per_sample_zscore,film,1.0,12,12,1462.517822265625,15.596142768859863
649,per_sample_zscore,film,1.0,9,9,1268.9815673828125,20.382137298583984
650,per_sample_zscore,film,0.0,0,2,10142.44921875,12.060225486755371
651,per_sample_zscore,film,1.0,6,6,329.1435852050781,4.8165998458862305
652,per_sample_zscore,film,1.0,4,4,233.61508178710938,4.131422996520996
653,per_sample_zscore,film,1.0,5,5,175.33816528320312,3.2457191944122314
654,per_sample_zscore,film,1.0,5,5,126.54429626464844,1.8872268199920654
655,per_sample_zscore,film,1.0,10,10,207.81031799316406,3.6059610843658447
656,per_sample_zscore,film,1.0,6,6,567.928466796875,6.893142223358154
657,per_sample_zscore,film,1.0,7,7,140.16258239746094,2.4438211917877197
658,per_sample_zscore,film,1.0,6,6,380.8321838378906,6.583719253540039
659,per_sample_zscore,film,1.0,11,11,293.2137756347656,4.916184902191162
660,per_sample_zscore,film,1.0,6,6,1015.8096313476562,11.526763916015625
661,per_sample_zscore,film,1.0,10,10,465.1791687011719,7.045599460601807
662,per_sample_zscore,film,1.0,6,6,615.40673828125,11.918279647827148
663,per_sample_zscore,film,1.0,4,4,269.9424133300781,5.951472759246826
664,per_sample_zscore,film,1.0,9,9,825.7196044921875,11.006294250488281
665,per_sample_zscore,film,1.0,6,6,233.86221313476562,3.624727725982666
666,per_sample_zscore,film,1.0,6,6,210.5233917236328,3.2200510501861572
