sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
79,per_sample_zscore,film,cnn,1.0,13,13,94.95905303955078,2.3221352100372314
80,per_sample_zscore,film,cnn,1.0,6,6,3.6951043605804443,0.5682774186134338
81,per_sample_zscore,film,cnn,1.0,17,17,892.5381469726562,10.089605331420898
82,per_sample_zscore,film,cnn,1.0,9,9,68.85613250732422,1.8344388008117676
83,per_sample_zscore,film,cnn,1.0,9,9,31.809682846069336,0.9039774537086487
84,per_sample_zscore,film,cnn,1.0,10,10,96.95716094970703,1.994316816329956
85,per_sample_zscore,film,cnn,1.0,6,6,38.250362396240234,1.5138769149780273
86,per_sample_zscore,film,cnn,1.0,17,17,500.4784240722656,5.752496242523193
87,per_sample_zscore,film,cnn,1.0,15,15,214.31906127929688,3.866802453994751
88,per_sample_zscore,film,cnn,1.0,8,8,17.128633499145508,0.8372771739959717
89,per_sample_zscore,film,cnn,1.0,5,5,24.655221939086914,1.4536722898483276
90,per_sample_zscore,film,cnn,1.0,4,4,3.44700288772583,0.3385491967201233
91,per_sample_zscore,film,cnn,1.0,3,3,22.080461502075195,0.9059990644454956
92,per_sample_zscore,film,cnn,1.0,8,8,100.95926666259766,2.2291769981384277
93,per_sample_zscore,film,cnn,1.0,10,10,300.66632080078125,4.016213893890381
94,per_sample_zscore,film,cnn,1.0,9,9,73.5564956665039,1.8704224824905396
95,per_sample_zscore,film,cnn,1.0,8,8,78.55184936523438,1.633775234222412
96,per_sample_zscore,film,cnn,1.0,6,6,9.214853286743164,0.7772221565246582
97,per_sample_zscore,film,cnn,1.0,5,5,1285.83935546875,10.74364948272705
98,per_sample_zscore,film,cnn,1.0,6,6,25.918149948120117,1.1937642097473145
99,per_sample_zscore,film,cnn,1.0,10,10,43.231956481933594,1.133286714553833
100,per_sample_zscore,film,cnn,1.0,13,13,685.2650756835938,7.428234100341797
101,per_sample_zscore,film,cnn,1.0,17,17,321.78692626953125,4.859408378601074
102,per_sample_zscore,film,cnn,1.0,14,14,77.26078796386719,2.555640935897827
103,per_sample_zscore,film,cnn,1.0,4,4,18.562959671020508,1.096161127090454
104,per_sample_zscore,film,cnn,1.0,8,8,145.3621368408203,2.934645175933838
105,per_sample_zscore,film,cnn,1.0,13,13,324.9512939453125,4.52707052230835
106,per_sample_zscore,film,cnn,1.0,4,4,52.386016845703125,1.4970043897628784
107,per_sample_zscore,film,cnn,1.0,4,4,246.4150390625,3.0600545406341553
108,per_sample_zscore,film,cnn,1.0,8,8,59.62255859375,1.7333821058273315
109,per_sample_zscore,film,cnn,1.0,8,8,44.395015716552734,1.0723257064819336
110,per_sample_zscore,film,cnn,1.0,5,5,55.790367126464844,1.540311574935913
111,per_sample_zscore,film,cnn,1.0,13,13,205.35028076171875,2.8761649131774902
112,per_sample_zscore,film,cnn,0.8571428571428571,6,7,5173.07568359375,7.431614875793457
113,per_sample_zscore,film,cnn,1.0,9,9,40.65193176269531,1.2739412784576416
114,per_sample_zscore,film,cnn,1.0,9,9,11.910808563232422,0.7492844462394714
115,per_sample_zscore,film,cnn,1.0,4,4,12.962518692016602,0.4800863564014435
116,per_sample_zscore,film,cnn,1.0,8,8,49.786094665527344,1.6783877611160278
117,per_sample_zscore,film,cnn,1.0,2,2,23.05539321899414,1.03864324092865
118,per_sample_zscore,film,cnn,1.0,7,7,160.92849731445312,3.401686429977417
119,per_sample_zscore,film,cnn,1.0,11,11,363.92840576171875,3.742044687271118
120,per_sample_zscore,film,cnn,1.0,4,4,8.684662818908691,0.5202942490577698
121,per_sample_zscore,film,cnn,0.6666666666666666,2,3,5005.98046875,5.741683483123779
122,per_sample_zscore,film,cnn,1.0,9,9,116.31763458251953,1.8524435758590698
123,per_sample_zscore,film,cnn,1.0,9,9,62.83259582519531,1.7279977798461914
124,per_sample_zscore,film,cnn,1.0,4,4,6.9290924072265625,0.6377835869789124
125,per_sample_zscore,film,cnn,1.0,3,3,57.297340393066406,1.6801310777664185
126,per_sample_zscore,film,cnn,1.0,6,6,2.9702517986297607,0.3698550760746002
127,per_sample_zscore,film,cnn,1.0,12,12,76.31746673583984,1.9062597751617432
128,per_sample_zscore,film,cnn,1.0,9,9,266.5702209472656,3.9464173316955566
129,per_sample_zscore,film,cnn,1.0,5,5,7.874808311462402,0.8417218923568726
130,per_sample_zscore,film,cnn,1.0,5,5,4.526674270629883,0.4707314670085907
131,per_sample_zscore,film,cnn,1.0,6,6,47.82606506347656,1.2933282852172852
132,per_sample_zscore,film,cnn,1.0,12,12,116.127197265625,2.2955539226531982
133,per_sample_zscore,film,cnn,1.0,11,11,13.846085548400879,0.743600606918335
134,per_sample_zscore,film,cnn,1.0,6,6,22.3507022857666,0.9844415187835693
135,per_sample_zscore,film,cnn,1.0,5,5,94.14193725585938,1.9686956405639648
136,per_sample_zscore,film,cnn,1.0,5,5,82.99398803710938,1.5329545736312866
137,per_sample_zscore,film,cnn,1.0,9,9,153.43479919433594,2.944105863571167
138,per_sample_zscore,film,cnn,1.0,5,5,181.3425750732422,2.26473331451416
139,per_sample_zscore,film,cnn,1.0,3,3,14.629032135009766,0.8478124737739563
140,per_sample_zscore,film,cnn,1.0,11,11,44.544063568115234,2.0674238204956055
141,per_sample_zscore,film,cnn,1.0,18,18,609.1422119140625,7.076480865478516
142,per_sample_zscore,film,cnn,1.0,13,13,397.27618408203125,5.327524185180664
143,per_sample_zscore,film,cnn,1.0,4,4,7.961322784423828,0.5563088059425354
144,per_sample_zscore,film,cnn,1.0,12,12,36.89945983886719,1.1104170083999634
145,per_sample_zscore,film,cnn,1.0,4,4,4.251791954040527,0.5189947485923767
146,per_sample_zscore,film,cnn,1.0,14,14,106.48210906982422,2.7820634841918945
147,per_sample_zscore,film,cnn,1.0,6,6,389.728515625,4.890485763549805
148,per_sample_zscore,film,cnn,1.0,6,6,89.90625762939453,2.891998291015625
149,per_sample_zscore,film,cnn,1.0,15,15,648.1691284179688,7.005795955657959
150,per_sample_zscore,film,cnn,1.0,6,6,108.81689453125,3.0492632389068604
151,per_sample_zscore,film,cnn,1.0,6,6,19.232032775878906,0.6379405856132507
152,per_sample_zscore,film,cnn,1.0,10,10,74.36967468261719,1.888788104057312
153,per_sample_zscore,film,cnn,1.0,10,10,71.38204193115234,2.146324634552002
154,per_sample_zscore,film,cnn,1.0,15,15,377.2257080078125,5.427640914916992
155,per_sample_zscore,film,cnn,1.0,4,4,68.2503890991211,1.736808180809021
156,per_sample_zscore,film,cnn,1.0,11,11,143.7672119140625,2.8084137439727783
