sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.04884488448844884,6887,1058,249673.140625,499.6726989746094
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0505,20000,1010,250502.609375,500.5021057128906
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.064,20000,1280,250445.0,500.4444885253906
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.040904079382579936,8382,1059,249216.046875,499.2067565917969
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.04875,20000,975,250533.5,500.532958984375
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0625,20000,1250,250803.296875,500.8020935058594
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0509,20000,1018,250811.421875,500.81036376953125
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0549,20000,1098,250509.0,500.5085144042969
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0606,20000,1212,253737.90625,503.71868896484375
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05444672732609334,6206,979,248460.1875,498.4501953125
